node,country,continent,industry,bipartite,id,deg_max,deg_min,deg_median,voterank_max,voterank_min,voterank_median,clustering_max,clustering_min,clustering_median,harmonic_centrality_max,harmonic_centrality_min,harmonic_centrality_median,closeness_centrality_max,closeness_centrality_min,closeness_centrality_median,newman_betweenness_centrality_max,newman_betweenness_centrality_min,newman_betweenness_centrality_median,pagerank_max,pagerank_min,pagerank_median,betweenness_centrality_max,betweenness_centrality_min,betweenness_centrality_median,eigenvector_centrality_max,eigenvector_centrality_min,eigenvector_centrality_median,average_neighbor_degree_max,average_neighbor_degree_min,average_neighbor_degree_median,num_inv,deg_org,voterank_org,clustering_org,core_number_org,harmonic_centrality_org,closeness_centrality_org,newman_betweenness_centrality_org,pagerank_org,eigenvector_centrality_org,average_neighbor_degree_org
NeuroMolecular Pharmaceuticals,United States,North America,Pharmaceuticals / Drugs,1,15,32.0,32.0,32.0,447.0,447.0,447.0,0.215725806,0.215725806,0.215725806,1398.572619,1398.572619,1398.572619,0.304551976,0.304551976,0.304551976,0.000340579,0.000340579,0.000340579,0.000290096,0.000290096,0.000290096,0.000286529,0.000286529,0.000286529,0.001789448,0.001789448,0.001789448,62.28125,62.28125,62.28125,1,7.0,2399.0,1.0,7.0,1033.095238,0.281749324,0.0,9.27e-05,0.000112092,33.57142857
AngioScore,United States,North America,Medical Devices & Equipment,1,17,47.0,10.0,14.0,2743.0,233.0,807.0,0.373626374,0.143434343,0.244444444,1327.302381,1084.285714,1185.052381,0.343670113,0.288533008,0.311357397,0.001740127,2.94e-05,0.000474819,0.000529171,0.000155016,0.000242711,0.001468997,2.27e-05,0.000407599,0.00699017,0.000594226,0.001887601,118.3939394,38.9,70.31914894,5,29.0,609.0,0.263546798,21.0,983.8785714,0.33098485,0.000659004,0.000281596,0.00250217,69.0
Prematics,United States,North America,Healthcare Software,1,19,18.0,4.0,10.5,2064.0,515.0,1078.0,1.0,0.215686275,0.3833333335,1694.060714,1252.251587,1468.5242065,0.300811296,0.227861663,0.26395376800000003,0.000440508,0.0,0.0002094145,0.000225039,6.8e-05,0.000111704,0.00037995,0.0,0.000191097,0.002338629,2.15e-05,0.000333348,124.6875,8.6,40.291666665,4,10.0,2762.0,0.311111111,8.0,1467.222619,0.284008829,4.16e-05,8.27e-05,7.73e-05,33.8
GlobeImmune,United States,North America,Drug Development,1,23,21.0,4.0,12.5,1757.0,197.0,977.0,1.0,0.368421053,0.6842105265,639.2174603,509.3194444,574.26845235,0.210319713,0.170449616,0.1903846645,0.004804684,0.0,0.002402342,0.000732203,0.00015658,0.0004443915,0.0046516,0.0,0.0023258,5.74e-06,1.3e-07,2.935e-06,10.28571429,10.0,10.142857145,2,4.0,1008.0,1.0,4.0,536.6690476,0.246216107,0.0,0.000219558,4.82e-05,13.75
Emphasys Medical,United States,North America,Medical Devices & Equipment,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
ev3,United States,North America,Medical Devices & Equipment,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
PercSys,United States,North America,Medical Devices & Equipment,1,32,186.0,4.0,74.0,2684.0,89.0,261.0,1.0,0.144390966,0.233309575,1708.320238,1207.735317,1634.39881,0.357334326,0.266695558,0.349524915,0.004933512,0.0,0.001133761,0.001011982,6.34e-05,0.000521329,0.005142612,0.0,0.001036578,0.051458193,0.000464637,0.010476005,131.4139785,66.0,102.9864865,3,38.0,1358.0,0.516358464,30.0,1309.535714,0.344004617,8.99e-05,0.000160294,0.004415855,147.8157895
Regency Healthcare Group,United States,North America,Medical Facilities & Services,1,34,2.0,2.0,2.0,2149.0,2149.0,2149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232019,0.000232019,0.000232019,0.0,0.0,0.0,8.53e-28,8.53e-28,8.53e-28,1.0,1.0,1.0,1,,,,,,,,,,
SpectraGenetics,United States,North America,Biotechnology,1,45,3.0,3.0,3.0,2763.0,2763.0,2763.0,0.333333333,0.333333333,0.333333333,791.1154762,791.1154762,791.1154762,0.21467558,0.21467558,0.21467558,0.001511908,0.001511908,0.001511908,0.000211678,0.000211678,0.000211678,0.001511908,0.001511908,0.001511908,2.38e-06,2.38e-06,2.38e-06,6.0,6.0,6.0,1,14.0,890.0,1.0,14.0,652.6714286,0.227138203,0.0,0.000340568,3.02e-06,16.28571429
Q Therapeutics,United States,North America,Pharmaceuticals / Drugs,1,46,59.0,4.0,28.5,1263.0,329.0,542.0,1.0,0.158971362,0.37117346949999996,1824.033333,1334.354762,1584.5964285,0.341266825,0.257632482,0.30024236449999997,0.002529026,0.0,0.000461273,0.000461293,5.87e-05,0.0002005595,0.002455631,0.0,0.0004434205,0.011656296,0.000203894,0.004259562,171.6530612,32.44444444,72.88771185,6,27.0,1775.0,0.424501425,21.0,1563.67619,0.326672781,3.98e-05,0.00011051,0.001604103,112.2222222
HealthGate,United States,North America,Healthcare Software,1,47,68.0,68.0,68.0,191.0,191.0,191.0,0.337576822,0.337576822,0.337576822,870.6833333,870.6833333,870.6833333,0.378500808,0.378500808,0.378500808,0.003559374,0.003559374,0.003559374,0.001139912,0.001139912,0.001139912,0.00368205,0.00368205,0.00368205,0.047629886,0.047629886,0.047629886,87.10294118,87.10294118,87.10294118,1,12.0,876.0,1.0,12.0,456.7166667,0.323398888,0.0,0.000333002,0.010883502,78.41666667
Signase,United States,North America,Pharmaceuticals / Drugs,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
TYRX,United States,North America,Medical Devices & Equipment,1,50,70.0,70.0,70.0,285.0,285.0,285.0,0.167287785,0.167287785,0.167287785,1544.72619,1544.72619,1544.72619,0.363340116,0.363340116,0.363340116,0.002196707,0.002196707,0.002196707,0.000578358,0.000578358,0.000578358,0.002143466,0.002143466,0.002143466,0.013758602,0.013758602,0.013758602,117.9857143,117.9857143,117.9857143,1,14.0,2170.0,1.0,14.0,1101.269048,0.334412669,0.0,0.000108972,0.001563094,125.7142857
EndoMedix,United States,North America,Medical Devices & Equipment,1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Tengion,United States,North America,Medical Devices & Equipment,1,54,125.0,8.0,100.5,2784.0,133.0,166.0,0.4,0.137513998,0.1725644195,1629.964286,1258.389286,1578.232738,0.382618679,0.301852843,0.369045099,0.004289089,5.4e-07,0.0034296450000000003,0.000929082,8.51e-05,0.0008447465,0.004444763,4.97e-07,0.0034898455,0.025212578,0.001791654,0.0150335585,132.0,89.96842105,118.42196225,4,60.0,1256.0,0.399435028,46.0,1251.719048,0.377428961,0.000226163,0.000275131,0.008382149,152.6666667
Osteotech,United States,North America,Medical Devices & Equipment,1,61,23.0,3.0,5.0,1152.0,606.0,835.0,1.0,0.343873518,1.0,1030.802381,730.3952381,730.3952381,0.329421384,0.241116605,0.241116605,0.002228777,0.0,0.0,0.000389776,0.000145954,0.00018749,0.002230373,0.0,0.0,0.010287615,0.000117686,0.000119002,107.3913043,7.2,9.1,4,3.0,,1.0,3.0,622.5690476,0.285572213,0.0,0.000104023,0.000586787,73.0
Potentia Pharmaceuticals,United States,North America,Biotechnology,1,64,12.0,3.0,7.5,2810.0,1282.0,2046.0,0.355555556,0.0,0.177777778,1434.335714,1063.845238,1249.090476,0.288914967,0.218695324,0.2538051455,0.000402557,0.0,0.0002012785,0.000133569,7.33e-05,0.0001034345,0.000394545,0.0,0.0001972725,0.000738146,5.31e-06,0.000371728,60.16666667,5.0,32.583333335,2,2.0,,1.0,2.0,1143.527381,0.274753597,0.0,4.44e-05,3.62e-05,52.0
Sequoia Pharmaceuticals,United States,North America,Pharmaceuticals / Drugs,1,66,74.0,38.0,57.0,1352.0,201.0,275.0,0.281650071,0.189929656,0.263157895,1537.292857,1387.82619,1434.722619,0.361657416,0.326542897,0.337595224,0.006274319,0.00017133,0.000811163,0.00071421,0.000290901,0.000504484,0.006325971,0.000148397,0.000686399,0.012218107,0.005069369,0.007663748,129.0263158,65.36842105,109.2972973,3,52.0,1126.0,0.470588235,33.0,1211.269048,0.364927448,0.000297545,0.000288088,0.005600499,127.4615385
Sierra Neuropharmaceuticals,United States,North America,Drug Development,1,67,128.0,9.0,96.0,1792.0,193.0,260.5,0.380952381,0.173474409,0.212490914,1961.683333,1531.116667,1892.625,0.364376673,0.293082681,0.3526765155,0.002103287,9.63e-05,0.0013995185,0.000718106,0.00010747,0.0005462175,0.002112575,3.19e-05,0.001424313,0.019001393,0.001014474,0.013943008,132.3580247,105.5555556,116.79057575,4,46.0,1842.0,0.650241546,41.0,1669.22619,0.346617829,0.000193606,0.000151111,0.003097655,161.173913
