node,country,continent,industry,bipartite,id,closeness_centrality_max,closeness_centrality_min,closeness_centrality_median,newman_betweenness_centrality_max,newman_betweenness_centrality_min,newman_betweenness_centrality_median,clustering_max,clustering_min,clustering_median,eigenvector_centrality_max,eigenvector_centrality_min,eigenvector_centrality_median,average_neighbor_degree_max,average_neighbor_degree_min,average_neighbor_degree_median,deg_max,deg_min,deg_median,pagerank_max,pagerank_min,pagerank_median,harmonic_centrality_max,harmonic_centrality_min,harmonic_centrality_median,betweenness_centrality_max,betweenness_centrality_min,betweenness_centrality_median,num_inv,closeness_centralityorg,core_numberorg,clusteringorg,eigenvector_centralityorg,average_neighbor_degreeorg,degorg,pagerankorg,harmonic_centralityorg,newman_betweenness_centralityorg
NeuroMolecular Pharmaceuticals,United States,North America,Pharmaceuticals / Drugs,1,15,0.304551976,0.304551976,0.304551976,0.000340579,0.000340579,0.000340579,0.215725806,0.215725806,0.215725806,0.001789448,0.001789448,0.001789448,62.28125,62.28125,62.28125,32.0,32.0,32.0,0.000290096,0.000290096,0.000290096,1398.572619,1398.572619,1398.572619,0.000286529,0.000286529,0.000286529,1,0.281749324,7.0,1.0,0.000112092,33.57142857,7.0,9.27e-05,1033.095238,0.0
AngioScore,United States,North America,Medical Devices & Equipment,1,17,0.343670113,0.288533008,0.311357397,0.001740127,2.94e-05,0.000474819,0.373626374,0.143434343,0.244444444,0.00699017,0.000594226,0.001887601,118.3939394,38.9,70.31914894,47.0,10.0,14.0,0.000529171,0.000155016,0.000242711,1327.302381,1084.285714,1185.052381,0.001468997,2.27e-05,0.000407599,5,0.33098485,21.0,0.263546798,0.00250217,69.0,29.0,0.000281596,983.8785714,0.000659004
Prematics,United States,North America,Healthcare Software,1,19,0.300811296,0.227861663,0.26395376800000003,0.000440508,0.0,0.0002094145,1.0,0.215686275,0.3833333335,0.002338629,2.15e-05,0.000333348,124.6875,8.6,40.291666665,18.0,4.0,10.5,0.000225039,6.8e-05,0.000111704,1694.060714,1252.251587,1468.5242065,0.00037995,0.0,0.000191097,4,0.284008829,8.0,0.311111111,7.73e-05,33.8,10.0,8.27e-05,1467.222619,4.16e-05
GlobeImmune,United States,North America,Drug Development,1,23,0.210319713,0.170449616,0.1903846645,0.004804684,0.0,0.002402342,1.0,0.368421053,0.6842105265,5.74e-06,1.3e-07,2.935e-06,10.28571429,10.0,10.142857145,21.0,4.0,12.5,0.000732203,0.00015658,0.0004443915,639.2174603,509.3194444,574.26845235,0.0046516,0.0,0.0023258,2,0.246216107,4.0,1.0,4.82e-05,13.75,4.0,0.000219558,536.6690476,0.0
Emphasys Medical,United States,North America,Medical Devices & Equipment,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
ev3,United States,North America,Medical Devices & Equipment,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PercSys,United States,North America,Medical Devices & Equipment,1,32,0.357334326,0.266695558,0.349524915,0.004933512,0.0,0.001133761,1.0,0.144390966,0.233309575,0.051458193,0.000464637,0.010476005,131.4139785,66.0,102.9864865,186.0,4.0,74.0,0.001011982,6.34e-05,0.000521329,1708.320238,1207.735317,1634.39881,0.005142612,0.0,0.001036578,3,0.344004617,30.0,0.516358464,0.004415855,147.8157895,38.0,0.000160294,1309.535714,8.99e-05
Regency Healthcare Group,United States,North America,Medical Facilities & Services,1,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53e-28,8.53e-28,8.53e-28,1.0,1.0,1.0,2.0,2.0,2.0,0.000232019,0.000232019,0.000232019,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,
SpectraGenetics,United States,North America,Biotechnology,1,45,0.21467558,0.21467558,0.21467558,0.001511908,0.001511908,0.001511908,0.333333333,0.333333333,0.333333333,2.38e-06,2.38e-06,2.38e-06,6.0,6.0,6.0,3.0,3.0,3.0,0.000211678,0.000211678,0.000211678,791.1154762,791.1154762,791.1154762,0.001511908,0.001511908,0.001511908,1,0.227138203,14.0,1.0,3.02e-06,16.28571429,14.0,0.000340568,652.6714286,0.0
Q Therapeutics,United States,North America,Pharmaceuticals / Drugs,1,46,0.341266825,0.257632482,0.30024236449999997,0.002529026,0.0,0.000461273,1.0,0.158971362,0.37117346949999996,0.011656296,0.000203894,0.004259562,171.6530612,32.44444444,72.88771185,59.0,4.0,28.5,0.000461293,5.87e-05,0.0002005595,1824.033333,1334.354762,1584.5964285,0.002455631,0.0,0.0004434205,6,0.326672781,21.0,0.424501425,0.001604103,112.2222222,27.0,0.00011051,1563.67619,3.98e-05
