,industry,index_x
18407,Biotechnology,10208.0
18410,Biotechnology,20447.0
18413,Medical Devices & Equipment,254885.0
18414,Pharmaceutical Distribution & Wholesale…,254889.0
18415,Drug Manufacturing,254920.0
18416,Dental Products & Services,236001.0
18417,Biotechnology,9673.0
18418,Medical Devices & Equipment,4778.0
18419,Medical Devices & Equipment,336656.0
18420,Medical Devices & Equipment,314889.0
18421,Biotechnology,42126.0
18422,Drug Development,365.0
18423,Pharmaceuticals / Drugs,36660.0
18424,Medical Devices & Equipment,16784.0
18425,Drug Discovery,15974.0
18426,Biotechnology,36998.0
18427,Pharmaceuticals / Drugs,21735.0
18428,Medical Facilities & Services,21632.0
18429,Medical Devices & Equipment,37183.0
18430,Medical Facilities & Services,37187.0
18431,Internet Software & Services,8305.0
18432,Medical Devices & Equipment,565.0
18433,Medical Facilities & Services,46536.0
18434,Medical Devices & Equipment,25012.0
18435,Pharmaceuticals / Drugs,9740.0
18436,Pharmaceuticals / Drugs,24635.0
18437,Medical Devices & Equipment,23825.0
18438,Biotechnology,8356.0
18439,Biotechnology,43072.0
18440,Biotechnology,21771.0
18441,Biotechnology,14965.0
18442,Medical Devices & Equipment,43329.0
18443,Drug Development,23564.0
18444,Medical Facilities & Services,43366.0
18445,Pharmaceuticals / Drugs,26185.0
18446,Drug Discovery,764.0
18447,Medical Facilities & Services,43491.0
18448,Biotechnology,9840.0
18449,Medical Equipment & Supplies,91118.0
18450,Biotechnology,581.0
18451,Drug Discovery,5316.0
18452,Medical Devices & Equipment,93586.0
18453,Medical Facilities & Services,6125.0
18454,Biotechnology,281286.0
18455,Drug Development,46277.0
18456,Healthcare Software,31955.0
18457,Mobile Software & Services,219546.0
18458,Pharmaceuticals / Drugs,46270.0
18459,Drug Discovery,102.0
18460,Medical Devices & Equipment,5335.0
18461,Biotechnology,23573.0
18462,Medical Facilities & Services,6736.0
18463,Medical Facilities & Services,17655.0
18464,Medical Facilities & Services,6633.0
18465,Medical Facilities & Services,44057.0
18466,Internet Software & Services,24516.0
18467,Medical Devices & Equipment,4597.0
18468,Medical Devices & Equipment,7125.0
18469,Biotechnology,6111.0
18470,Pharmaceuticals / Drugs,5926.0
18471,Biotechnology,19677.0
18472,Health & Wellness (non-internet/mobile)…,24602.0
18473,Medical Facilities & Services,3021.0
18474,Biotechnology,39353.0
18475,Medical Devices & Equipment,9261.0
18476,Pharmaceuticals / Drugs,4012.0
18477,Biotechnology,249900.0
18478,Biotechnology,13384.0
18479,Internet Software & Services,1220.0
18480,Medical Devices & Equipment,1237.0
18481,Elective & Aesthetic Medicine,25194.0
18482,Medical Facilities & Services,44872.0
18483,Medical Devices & Equipment,4796.0
18484,Drug Delivery,24163.0
18485,Medical Devices & Equipment,15315.0
18486,Drug Development,7132.0
18487,Medical Devices & Equipment,1145.0
18488,Medical Devices & Equipment,45124.0
18489,Biotechnology,26946.0
18490,Internet Software & Services,9056.0
18491,Pharmaceuticals / Drugs,45317.0
18492,Medical Devices & Equipment,2195.0
18493,Pharmaceuticals / Drugs,9111.0
18494,Biotechnology,379822.0
18495,Medical Facilities & Services,61.0
18496,Biotechnology,1892.0
18497,Drug Discovery,81810.0
18498,Medical Devices & Equipment,8737.0
18499,Drug Discovery,7121.0
18500,Drug Development,499621.0
18501,Biotechnology,500009.0
18502,Disease Diagnosis,502845.0
18503,Medical Equipment & Supplies,503661.0
18504,Medical Facilities & Services,506343.0
18507,Medical Equipment & Supplies,495116.0
18508,Healthcare Software,501560.0
18510,Biotechnology,501572.0
18512,Medical Devices & Equipment,506844.0
18514,Medical Devices & Equipment,510867.0
18515,Medical Devices & Equipment,513668.0
18516,Pharmaceuticals / Drugs,515489.0
18519,Medical Devices & Equipment,516487.0
18520,Healthcare Software,516677.0
18521,Healthcare Software,519487.0
18523,Pharmaceuticals / Drugs,523023.0
18527,Medical Equipment & Supplies,523800.0
18528,Drug Delivery,524302.0
18529,Biotechnology,526138.0
18530,Healthcare Software,525420.0
18531,Biotechnology,527540.0
18532,Biotechnology,530506.0
18533,Healthcare Software,532889.0
18534,Drug Development,534315.0
18535,Healthcare Software,532621.0
18536,Medical Devices & Equipment,535732.0
18538,Biotechnology,536555.0
18541,Biotechnology,536681.0
18542,Healthcare Software,43282.0
18543,Pharmaceuticals / Drugs,6951.0
18544,Biotechnology,1471.0
18545,Medical Devices & Equipment,24838.0
18546,Medical Devices & Equipment,502037.0
18547,Medical Devices & Equipment,528467.0
18549,Biotechnology,40012.0
18557,Medical Facilities & Services,37086.0
18559,Biotechnology,39243.0
18566,Medical Devices & Equipment,5074.0
18576,Pharmaceuticals / Drugs,1355.0
18579,Biotechnology,42863.0
18583,Medical Equipment & Supplies,39552.0
18584,Healthcare Software,39722.0
18590,Biotechnology,42972.0
18594,Medical Devices & Equipment,1280.0
18595,Biotechnology,10220.0
18604,Medical Devices & Equipment,41277.0
18607,Medical Facilities & Services,519254.0
18608,Medical Devices & Equipment,45402.0
18614,Biotechnology,43188.0
18616,Disease Diagnosis,534701.0
18617,Dental Products & Services,546000.0
18618,Pharmaceuticals / Drugs,547775.0
18619,Pharmaceuticals / Drugs,6887.0
18629,Medical Devices & Equipment,36883.0
18635,Internet Software & Services,9808.0
18636,Healthcare Software,17654.0
18639,Medical Devices & Equipment,2288.0
18642,Medical Facilities & Services,36584.0
18645,Medical Devices & Equipment,6172.0
18647,Medical Facilities & Services,40109.0
18649,Medical Devices & Equipment,39185.0
18650,Pharmaceuticals / Drugs,500999.0
18651,Medical Facilities & Services,502163.0
18652,Healthcare Software,525566.0
18654,Drug Development,529311.0
18656,Drug Development,536642.0
18660,Medical Devices & Equipment,546557.0
18662,Medical Devices & Equipment,42551.0
18667,Medical Devices & Equipment,45106.0
18673,Biotechnology,41489.0
18682,Medical Devices & Equipment,48733.0
18683,Medical Devices & Equipment,7181.0
18692,Medical Facilities & Services,42928.0
18703,Biotechnology,44786.0
18710,Pharmaceuticals / Drugs,25848.0
18716,Biotechnology,8992.0
18720,Medical Devices & Equipment,39182.0
18722,Biotechnology,45070.0
18723,Biotechnology,40662.0
18727,Pharmaceuticals / Drugs,21733.0
18729,Drug Development,37696.0
18735,Drug Development,534290.0
18738,Pharmaceuticals / Drugs,349003.0
18739,Medical Devices & Equipment,15021.0
18740,Healthcare Software,504151.0
18744,Medical Facilities & Services,257215.0
18745,Drug Delivery,492403.0
18746,Medical Facilities & Services,526455.0
18748,Drug Development,532968.0
18750,Medical Equipment & Supplies,532765.0
18752,Drug Development,533368.0
18755,Biotechnology,534709.0
18756,Pharmaceuticals / Drugs,534502.0
18758,Drug Development,551179.0
18759,Pharmaceuticals / Drugs,261835.0
18760,Biotechnology,43677.0
18763,Biotechnology,498360.0
18765,Pharmaceuticals / Drugs,8741.0
18785,Medical Facilities & Services,45734.0
18786,Medical Equipment & Supplies,41101.0
18787,Biotechnology,27398.0
18788,Medical Equipment & Supplies,525195.0
18790,Medical Devices & Equipment,25260.0
18791,Medical Devices & Equipment,41270.0
18797,Drug Delivery,21745.0
18799,Biotechnology,39945.0
18800,Disease Diagnosis,508573.0
18801,Pharmaceuticals / Drugs,497247.0
18813,Medical Devices & Equipment,21734.0
18819,Medical Devices & Equipment,54980.0
18820,Medical Devices & Equipment,44341.0
18821,Medical Devices & Equipment,39158.0
18824,Biotechnology,6143.0
18827,Internet Software & Services,9387.0
18830,Medical Facilities & Services,36441.0
18835,Healthcare Software,11839.0
18849,Medical Devices & Equipment,36371.0
18853,Biotechnology,42214.0
18856,Medical Facilities & Services,40006.0
18858,Mobile Software & Services,1333.0
18866,Biotechnology,6337.0
18876,Medical Devices & Equipment,926.0
18885,Biotechnology,502358.0
18886,Medical Facilities & Services,513525.0
18889,Medical Devices & Equipment,531842.0
18891,Medical Facilities & Services,528475.0
18893,Biotechnology,543217.0
18894,Medical Equipment & Supplies,5800.0
18905,Biotechnology,44950.0
18906,Drug Development,21743.0
18907,Medical Devices & Equipment,550257.0
18909,Pharmaceuticals / Drugs,534584.0
18912,Medical Devices & Equipment,23760.0
18920,Medical Facilities & Services,39456.0
18922,Medical Product Distribution,44485.0
18925,Medical Devices & Equipment,15109.0
18929,Medical Facilities & Services,185213.0
18930,Drug Discovery,5072.0
18935,Medical Devices & Equipment,1475.0
18938,Healthcare Software,494952.0
18942,Medical Facilities & Services,41745.0
18943,Drug Discovery,8609.0
18948,Biotechnology,25859.0
18963,Drug Development,528230.0
18967,Medical Devices & Equipment,537275.0
18971,Medical Equipment & Supplies,545942.0
18973,Medical Facilities & Services,36398.0
18978,Biotechnology,522164.0
18980,Medical Devices & Equipment,536393.0
18981,Healthcare Software,540853.0
18982,Biotechnology,495922.0
18985,Pharmaceuticals / Drugs,513947.0
18987,Biotechnology,526630.0
18990,Drug Development,549211.0
18992,Medical Facilities & Services,531921.0
18995,Biotechnology,501904.0
18996,Medical Devices & Equipment,502338.0
19000,Drug Delivery,226278.0
19001,Healthcare Software,496723.0
19006,Medical Facilities & Services,507003.0
19010,Biotechnology,493751.0
19015,Medical Devices & Equipment,494585.0
19016,Disease Diagnosis,495604.0
19020,Healthcare Software,496611.0
19021,Medical Equipment & Supplies,498197.0
19023,Drug Development,503830.0
19031,Medical Facilities & Services,525405.0
19033,Medical Equipment & Supplies,526667.0
19034,Medical Equipment & Supplies,528013.0
19035,Healthcare Software,541237.0
19038,Drug Development,543873.0
19041,Healthcare Software,543923.0
19043,Biotechnology,545516.0
19044,Medical Equipment & Supplies,507739.0
19045,Biotechnology,5961.0
19059,Biotechnology,36852.0
19067,Biotechnology,6376.0
19068,Medical Facilities & Services,532002.0
19069,Pharmaceuticals / Drugs,36739.0
19070,Biotechnology,103092.0
19071,Healthcare Software,46349.0
19078,Pharmaceuticals / Drugs,42494.0
19082,Medical Facilities & Services,910.0
19083,Medical Facilities & Services,9015.0
19086,Medical Devices & Equipment,1694.0
19092,Healthcare Software,497232.0
19099,Internet Software & Services,46450.0
19106,Healthcare Software,518178.0
19107,Biotechnology,1306.0
19108,Medical Product Distribution,38103.0
19114,Medical Facilities & Services,38990.0
19120,Pharmaceuticals / Drugs,423503.0
19121,Medical Devices & Equipment,3056.0
19122,Biotechnology,43695.0
19134,Biotechnology,43698.0
19137,Drug Discovery,21807.0
19140,Drug Development,43183.0
19143,Medical Devices & Equipment,26544.0
19150,Healthcare Software,43311.0
19151,Healthcare Software,526327.0
19156,Biotechnology,37150.0
19157,Internet Software & Services,42392.0
19165,Medical Facilities & Services,45053.0
19169,Disease Diagnosis,9403.0
19174,Biotechnology,37419.0
19189,Drug Delivery,17623.0
19195,Pharmaceuticals / Drugs,10191.0
19218,Medical Devices & Equipment,42230.0
19219,Medical Devices & Equipment,19393.0
19224,Medical Devices & Equipment,43610.0
19225,Medical Devices & Equipment,14976.0
19230,Drug Development,6096.0
19238,Medical Facilities & Services,506868.0
19242,Medical Devices & Equipment,502641.0
19245,Pharmaceuticals / Drugs,500801.0
19246,Medical Facilities & Services,511804.0
19249,Biotechnology,534512.0
19251,Medical Devices & Equipment,545476.0
19254,Drug Development,543757.0
19257,Healthcare Software,530252.0
19258,Pharmaceuticals / Drugs,41079.0
19259,Pharmaceuticals / Drugs,9238.0
19263,Drug Discovery,24269.0
19269,Biotechnology,6729.0
19276,Medical Facilities & Services,505350.0
