,industry,index_x,target_name,target_founded,target_status,alive
8838,Biotechnology,102322.0,Genentech,1976.0,Acquired,0
8883,Disease Diagnosis,535053.0,Queue Systems,1981.0,Acquired,0
8890,Biotechnology,537900.0,Seragen,1979.0,IPO / Went public,0
8900,Disease Diagnosis,552001.0,Zymark,1981.0,Acquired,0
8903,Medical Devices & Equipment,495217.0,Amarel Precision Instrume,1980.0,Alive / Active,1
8904,Medical Devices & Equipment,502020.0,Cardiovascular Devices,1981.0,Acquired,0
8927,Healthcare Software,552002.0,Zymed,1981.0,Acquired,0
8932,Medical Devices & Equipment,535310.0,Quantum Medical Systems,1982.0,Acquired,0
8940,Disease Diagnosis,525992.0,Micron Separations,1981.0,Acquired,0
8943,Stealth Mode,522843.0,Lancity,1981.0,Acquired,0
8956,Disease Diagnosis,525947.0,Meridian Instruments,1983.0,Acquired,0
8959,Pharmaceuticals / Drugs,550509.0,Xoma,1981.0,IPO / Went public,0
8963,Biotechnology,531035.0,Neorx,1984.0,IPO / Went public,0
8988,Drug Delivery,524624.0,Liposome Technology,1981.0,IPO / Went public,0
9007,Medical Devices & Equipment,526182.0,Microsonics,1980.0,Acquired,0
9035,Biotechnology,533059.0,Photest Diagnostics,1983.0,Dead / Inactive,0
9051,Medical Facilities & Services,525817.0,Medical Sterilization,1983.0,IPO / Went public,0
9059,Medical Devices & Equipment,502266.0,Cemax-icon,1982.0,Acquired,0
9064,Stealth Mode,519869.0,Integrated Telecomputing,1983.0,Dead / Inactive,0
9066,Medical Devices & Equipment,527032.0,Medisense,1981.0,IPO / Went public,0
9105,Pharmaceuticals / Drugs,523566.0,Karyon Technology,1983.0,Dead / Inactive,0
9106,Disease Diagnosis,523502.0,Lab Force,1977.0,Acquired,0
9114,Medical Devices & Equipment,523927.0,Laserscope Biomedical,1982.0,IPO / Went public,0
9135,Biotechnology,500089.0,Biomatrix,1981.0,IPO / Went public,0
9161,Pharmaceuticals / Drugs,514150.0,Genderm,1983.0,Acquired,0
9163,Biotechnology,23987.0,IDEXX Laboratories,1984.0,Alive / Active,1
9187,Medical Facilities & Services,541936.0,Sports Medicine Systems,1984.0,Acquired,0
9188,Medical Devices & Equipment,524064.0,Loredan Biomedical,1984.0,Dead / Inactive,0
9197,Medical Facilities & Services,516606.0,Healthstop,1985.0,Dead / Inactive,0
9201,Medical Devices & Equipment,521074.0,Kel,1977.0,Acquired,0
9212,Medical Devices & Equipment,501753.0,Camino Laboratories,1981.0,Acquired,0
9253,Healthcare Software,504971.0,Consumer Health Services,1982.0,Acquired,0
9258,Medical Devices & Equipment,518550.0,I-STAT,1984.0,IPO / Went public,0
9259,Medical Facilities & Services,528816.0,New England Critical Care,1982.0,IPO / Went public,0
9266,Medical Devices & Equipment,545218.0,Tokos Medical,1983.0,IPO / Went public,0
9267,Medical Equipment & Supplies,543474.0,Suprex,1982.0,Acquired,0
9272,Medical Equipment & Supplies,502021.0,Cardiovascular Diagnostic,1985.0,IPO / Went public,0
9283,Medical Facilities & Services,504322.0,Co-optics Of America,1985.0,Alive / Active,1
9287,Medical Devices & Equipment,523937.0,Lawrence Medical Systems,1980.0,Dead / Inactive,0
9294,Medical Devices & Equipment,532272.0,Osteo-technology,1984.0,Dead / Inactive,0
9300,Biotechnology,548368.0,Vitaphore,1986.0,Acquired,0
9302,Medical Facilities & Services,516310.0,Hannover Healthcare,1984.0,Acquired,0
9311,Medical Facilities & Services,499690.0,Bioassay Systems,1977.0,Dead / Inactive,0
9332,Drug Delivery,519691.0,Intelligent Medicine,1984.0,Acquired,0
9400,Pharmaceuticals / Drugs,504021.0,Coletica,1985.0,IPO / Went public,0
9405,Drug Delivery,530692.0,Omni Flow,1982.0,Acquired,0
9411,Medical Facilities & Services,529881.0,National Rehabilitation,1985.0,IPO / Went public,0
9420,Medical Equipment & Supplies,499992.0,Biotrack,1983.0,Acquired,0
9425,Medical Facilities & Services,513909.0,Genesis Health Ventures,1981.0,IPO / Went public,0
9428,Biotechnology,528985.0,Northfield Laboratories,1985.0,IPO / Went public,0
9461,Biotechnology,505797.0,Curative Technologies,1984.0,IPO / Went public,0
9487,Pharmaceuticals / Drugs,549352.0,Vitarine Pharmaceuticals,1985.0,Dead / Inactive,0
9516,Pharmaceuticals / Drugs,530406.0,Oclassen Pharmaceuticals,1985.0,Acquired,0
9519,Drug Development,494681.0,Alteon,1986.0,IPO / Went public,0
9566,Medical Equipment & Supplies,505929.0,Cymed,1985.0,Acquired,0
9571,Medical Equipment & Supplies,528076.0,Medical & Scientific Ente,1986.0,Dead / Inactive,0
9572,Stealth Mode,527998.0,Mcm Laboratories,1985.0,Dead / Inactive,0
9577,Medical Facilities & Services,534076.0,Prison Health Services,1978.0,IPO / Went public,0
9579,Drug Development,540921.0,Somerset Pharmaceuticals,1986.0,Acquired,0
9581,Biotechnology,499845.0,Biogrowth,1985.0,Acquired,0
9594,Medical Devices & Equipment,519142.0,Intertherapy,1986.0,Acquired,0
9600,Pharmaceuticals / Drugs,531899.0,Oncogene Science,1983.0,IPO / Went public,0
9607,Drug Delivery,506018.0,Cygnus Therapeutic System,1985.0,IPO / Went public,0
9608,Healthcare Software,507291.0,Datis,1986.0,Acquired,0
9615,Medical Facilities & Services,518572.0,Innovative Healthcare Systems,1986.0,Dead / Inactive,0
9621,Medical Devices & Equipment,543738.0,Strato Medical,1984.0,Acquired,0
9628,Drug Delivery,517437.0,Himedics,1984.0,Dead / Inactive,0
9640,Pharmaceuticals / Drugs,87723.0,Sanofi Genzyme,1981.0,Alive / Active,1
9650,Medical Devices & Equipment,502355.0,Cardiomedics,1986.0,Dead / Inactive,0
9680,Biotechnology,524279.0,Lipogen,1986.0,Acquired,0
9691,Drug Development,540222.0,SICOR,1986.0,IPO / Went public,0
9703,Medical Facilities & Services,519759.0,Integrated Health,1986.0,IPO / Went public,0
9713,Disease Diagnosis,499638.0,Bionovus,1985.0,Acquired,0
9719,Medical Facilities & Services,535281.0,Regency Health Services,1986.0,IPO / Went public,0
9758,Medical Equipment & Supplies,523336.0,Lectus,1987.0,Dead / Inactive,0
9761,Healthcare Software,533045.0,Physician Computer Networ,1983.0,IPO / Went public,0
9770,Medical Facilities & Services,493787.0,Advacare,1986.0,IPO / Went public,0
9784,Medical Facilities & Services,536015.0,Renaissance America,1987.0,Acquired,0
9815,Disease Diagnosis,541970.0,Steris,1985.0,IPO / Went public,0
9817,Medical Facilities & Services,544736.0,Synergos,1987.0,Acquired,0
9821,Medical Facilities & Services,502555.0,Cellcor,1986.0,IPO / Went public,0
9834,Medical Equipment & Supplies,521843.0,Isolab,1972.0,Dead / Inactive,0
9853,Medical Facilities & Services,546208.0,U.S. Behavioral Health,1980.0,Acquired,0
9856,Drug Development,545192.0,Theracel,1987.0,Alive / Active,1
9857,Medical Equipment & Supplies,547152.0,Ultra Diagnostics,1987.0,Dead / Inactive,0
9858,Medical Facilities & Services,546921.0,Value Health,1987.0,IPO / Went public,0
9866,Medical Devices & Equipment,496596.0,Ash Medical Systems,1983.0,Acquired,0
9870,Healthcare Software,504182.0,Clinicom,1985.0,IPO / Went public,0
9873,Medical Devices & Equipment,505490.0,Corvita,1986.0,IPO / Went public,0
