"","clusters","index"
"24635.0","0","24635.0"
"9844.0","1","9844.0"
"25853.0","0","25853.0"
"1190.0","0","1190.0"
"9100.0","1","9100.0"
"42968.0","0","42968.0"
"499868.0","0","499868.0"
"6951.0","0","6951.0"
"1186.0","0","1186.0"
"4732.0","0","4732.0"
"522587.0","0","522587.0"
"493514.0","0","493514.0"
"513241.0","0","513241.0"
"523518.0","0","523518.0"
"40305.0","0","40305.0"
"21762.0","0","21762.0"
"7048.0","0","7048.0"
"41160.0","0","41160.0"
"45579.0","0","45579.0"
"520490.0","0","520490.0"
"24495.0","0","24495.0"
"10780.0","0","10780.0"
"25198.0","1","25198.0"
"40670.0","0","40670.0"
"340.0","1","340.0"
"27.0","0","27.0"
"26926.0","0","26926.0"
"9196.0","0","9196.0"
"513882.0","0","513882.0"
"1888.0","0","1888.0"
"531490.0","0","531490.0"
"516922.0","0","516922.0"
"494125.0","0","494125.0"
"515575.0","0","515575.0"
"514497.0","0","514497.0"
"9025.0","1","9025.0"
"21806.0","0","21806.0"
"2084.0","0","2084.0"
"1626.0","0","1626.0"
"17941.0","0","17941.0"
"504968.0","0","504968.0"
"22514.0","0","22514.0"
"531679.0","0","531679.0"
"41901.0","0","41901.0"
"2540.0","0","2540.0"
"13243.0","0","13243.0"
"42303.0","0","42303.0"
"16697.0","0","16697.0"
"17887.0","0","17887.0"
"6103.0","1","6103.0"
"27421.0","0","27421.0"
"6244.0","0","6244.0"
"522664.0","0","522664.0"
"8186.0","0","8186.0"
"9054.0","0","9054.0"
"550308.0","0","550308.0"
"17963.0","0","17963.0"
"5553.0","0","5553.0"
"40452.0","0","40452.0"
"538942.0","0","538942.0"
"506264.0","0","506264.0"
"13254.0","0","13254.0"
"9715.0","0","9715.0"
"36995.0","0","36995.0"
"9718.0","0","9718.0"
"26210.0","0","26210.0"
"37998.0","0","37998.0"
"36538.0","0","36538.0"
"537219.0","0","537219.0"
"531228.0","0","531228.0"
"46590.0","0","46590.0"
"1804.0","0","1804.0"
"36494.0","0","36494.0"
"7386.0","0","7386.0"
"43814.0","0","43814.0"
"4560.0","0","4560.0"
"13438.0","0","13438.0"
"2519.0","0","2519.0"
"42283.0","0","42283.0"
"43632.0","0","43632.0"
"13611.0","0","13611.0"
"20975.0","0","20975.0"
"15963.0","0","15963.0"
"508852.0","0","508852.0"
"516771.0","0","516771.0"
"44858.0","0","44858.0"
"22796.0","0","22796.0"
"12553.0","1","12553.0"
"868.0","0","868.0"
"38964.0","0","38964.0"
"6894.0","0","6894.0"
"1353.0","0","1353.0"
"44596.0","0","44596.0"
"40036.0","0","40036.0"
"1038.0","0","1038.0"
"6631.0","0","6631.0"
"525346.0","0","525346.0"
"8942.0","0","8942.0"
"4611.0","0","4611.0"
"12908.0","0","12908.0"
"16001.0","0","16001.0"
"9855.0","0","9855.0"
"42781.0","0","42781.0"
"530110.0","0","530110.0"
"20683.0","0","20683.0"
"835.0","0","835.0"
"18494.0","0","18494.0"
"25964.0","0","25964.0"
"1645.0","0","1645.0"
"36861.0","0","36861.0"
"536789.0","0","536789.0"
"10913.0","0","10913.0"
"14581.0","0","14581.0"
"2233.0","0","2233.0"
"512308.0","0","512308.0"
"525900.0","0","525900.0"
"8530.0","0","8530.0"
"8307.0","0","8307.0"
"6905.0","0","6905.0"
"17398.0","0","17398.0"
"51893.0","0","51893.0"
"14959.0","0","14959.0"
"41569.0","0","41569.0"
"42411.0","0","42411.0"
"1874.0","0","1874.0"
"23955.0","0","23955.0"
"16720.0","0","16720.0"
"9412.0","0","9412.0"
"37282.0","0","37282.0"
"829.0","0","829.0"
"28668.0","0","28668.0"
"6677.0","0","6677.0"
"20445.0","0","20445.0"
"41271.0","0","41271.0"
"24357.0","0","24357.0"
"19790.0","0","19790.0"
"9197.0","0","9197.0"
"380.0","0","380.0"
"18831.0","0","18831.0"
"39795.0","0","39795.0"
"10879.0","0","10879.0"
"24582.0","0","24582.0"
"37418.0","0","37418.0"
"18587.0","0","18587.0"
"539043.0","0","539043.0"
"9227.0","0","9227.0"
"502518.0","0","502518.0"
"5814.0","1","5814.0"
"11168.0","0","11168.0"
"15165.0","0","15165.0"
"42629.0","0","42629.0"
"6149.0","0","6149.0"
"11103.0","0","11103.0"
"20125.0","0","20125.0"
"11061.0","0","11061.0"
"16909.0","0","16909.0"
"44330.0","0","44330.0"
"12753.0","0","12753.0"
"1596.0","0","1596.0"
"36431.0","0","36431.0"
"54712.0","0","54712.0"
"13012.0","0","13012.0"
"14363.0","0","14363.0"
"36949.0","0","36949.0"
"542423.0","0","542423.0"
"507005.0","0","507005.0"
"17971.0","0","17971.0"
"22928.0","0","22928.0"
"11002.0","0","11002.0"
"18032.0","0","18032.0"
