reps 1,reps 2,reps 3,reps 4,reps 5,reps 6,reps 7,reps 8,reps 9
9879596.390998513,-738856.16052755,-658809.1694583918,-3491019.798683835,2166525.5460147215,-827818.3696947123,1662771.184085015,867428.4569753036,13837571.075101335
15463425.378953911,509740.9902969838,-1406349.7412741676,-4844671.176520882,3619706.6027563466,-1251838.5116728437,904096.6508671764,2467001.4319272493,18984438.504746787
22382551.336348824,3131681.816127399,-1273388.4744501128,-4353207.3727205675,3812318.272381947,-1850364.403849669,-806748.8079924232,1974245.9976844245,23159319.906069018
28442407.654750984,3515898.777739593,-1521538.4144818601,-4188711.7133842576,4022909.416609751,-2672090.1020497894,1652.021213567874,1549144.1334474764,26883048.430421352
33806445.62937804,5317223.425408225,-1618669.3748973978,-3365856.359212218,4489941.057858891,-3564942.342017415,-1210765.8771953569,1764195.5528800641,28870340.28196552
40227219.90622599,4599803.0099370675,-3960924.0668895044,-5727571.894552378,3942306.54942975,-3856965.69705018,1719544.6059341745,1775234.511726577,30657570.795406234
44741406.0914139,5523065.316549627,-3581191.3583148792,-6129811.0475053135,3402570.332744429,-4195249.559473031,2302059.9152368554,1736461.1021667656,32989661.71809662
48879950.71170651,5703334.959399726,-4479658.42156931,-5901199.3452916425,2667572.2665166114,-5052600.717669893,2725581.4761416093,2678212.506878088,34183828.12898338
53837982.064444974,6128515.392976534,-6480561.775738435,-9069762.38754294,1969099.1456040572,-4649678.605671938,5597397.582586739,1314885.5582778524,33855950.313711
56423843.09866383,6255245.743660839,-7077883.7552388655,-8945908.33804868,672749.9631211325,-4704404.497713905,6286623.685792688,781908.1810748506,34483239.79612605
