,index,foundation,voterank,eigenvector,degree,pagerank,closeness,newman,subgraph,average
15,20125.0,2002.0,2464.0,0.0004960733114521,0.0030193236714975,7.381878164014687e-05,0.2937118838728165,0.0,5.35364239795595e+86,80.66666666666667
17,18536.0,2003.0,708.0,0.0023876941229157,0.0089662447257383,0.0002234833193349,0.3238497108293311,0.0005067026050251,1.2263456870354372e+67,73.3529411764706
19,18285.0,2005.0,4287.0,0.000242472093209,0.000805152979066,4.20952683887084e-05,0.2988461482011605,2.4073721400519068e-06,1.2776074086620756e+86,143.75
26,21524.0,2000.0,408.0,0.0306664084190807,0.0456223628691983,0.0005628885053617,0.3885972748048833,0.0010398890636014,2.022893662882842e+69,161.48554913294797
27,21526.0,2000.0,,3.854649761816595e-05,0.0003756103668461,2.39286408510762e-05,0.263646481783138,0.0,1.0789045838417597e+116,80.33333333333333
32,11242.0,2003.0,1981.0,0.0040287028462798,0.0080515297906602,0.0001218817373542,0.3326999902206166,0.0001667946078119,3.5325413555489856e+88,161.5
34,21592.0,2002.0,3529.0,1.3042900667153734e-35,0.000173580975525,0.0001735508503991,0.000173580975525,0.0,1.5430806348152406,1.0
45,40948.0,2003.0,1207.0,2.271801267599181e-06,0.0036919831223628,0.0002513220585356,0.2220007985479835,0.0,1.1102645027271636e+61,16.571428571428573
46,6227.0,2004.0,2758.0,8.367340172188324e-05,0.0005274261603375,7.586025390728579e-05,0.2673472892109026,0.0,1.5054646895771362e+64,45.0
53,21774.0,2005.0,,,,,,,,
54,1690.0,2003.0,1518.0,0.0093786311606626,0.0181775809834537,0.0002473271084952,0.3686816656060825,0.0004649285391252,1.176257420326835e+78,165.74358974358975
64,7138.0,2001.0,3989.0,3.212089759021574e-05,0.0003471619510501,3.048425235164484e-05,0.2643536959661605,0.0,3.4703789590190197e+95,57.5
66,20683.0,2002.0,1406.0,0.0062810809998176,0.0132836168725238,0.0002132526474729,0.3547820689642337,0.0002018253511286,5.273210144496946e+77,158.3684210526316
67,10917.0,2005.0,1648.0,0.0052875236451685,0.0113618916014125,0.0001408826027097,0.3474528040971333,0.0001897275606879,2.1183750282740738e+107,209.40540540540545
76,20405.0,2003.0,2671.0,1.6172744829801516e-07,0.0005207429265752,0.0001152532878851,0.2038002212092036,0.0003235959227757,8.79319286603156e+90,3.6666666666666665
78,54827.0,2008.0,5022.0,1.390164831394133e-32,0.0001252034556153,0.0001251877816725,0.0001252034556153,0.0,1.5430806348152435,1.0
79,1721.0,2005.0,2897.0,0.0255995173838158,0.0311996779388083,0.0003012859331655,0.3742131054299857,0.0001019918420198,1.4261277697594404e+90,251.36774193548388
81,11103.0,2000.0,2538.0,0.0032068156154851,0.0068438003220611,0.000107852802926,0.3375046912623645,2.078863074563666e-05,2.237688039012253e+88,173.61764705882354
84,38388.0,2001.0,1117.0,2.9690800994375398e-52,0.0002637130801687,0.0002636435539151,0.0002637130801687,0.0,1.5430806348152435,1.0
92,219.0,2003.0,2251.0,3.8499365771950006e-05,0.0005274261603375,0.0001264329041215,0.2564558894224216,0.0004975140990153,3.1886761874710652e+63,43.5
119,11203.0,2000.0,2739.0,0.0001581723454472,0.0013886478042006,7.304730135542075e-05,0.2757112218738227,1.43989704794443e-05,8.413444539026701e+96,57.375
121,22018.0,2003.0,,,,,,,,
124,22022.0,2003.0,,8.824849985260206e-46,0.0002330459100442,0.0002329916123019,0.0002330459100442,0.0,1.543080634815244,1.0
141,22081.0,2008.0,7141.0,9.246375671779128e-05,8.643789437289307e-05,1.3552182685649076e-05,0.2614101075700656,0.0,1.614217606544186e+131,420.0
159,17891.0,2002.0,2129.0,0.0037570180384219,0.0104148585315049,0.0001422773178712,0.340744535950936,0.0001182958200907,4.748073209529374e+99,163.56666666666666
160,22185.0,2009.0,,,,,,,,
162,22187.0,2007.0,9826.0,0.0165437326018464,0.0259171153123826,0.0001893155637848,0.3588414174709647,0.0,1.9795607805792724e+121,302.951690821256
163,22189.0,2005.0,4673.0,2.5180667290493947e-06,0.0001535390756947,2.7726196170267708e-05,0.2322871466621931,0.0,4.80340218279119e+100,12.0
164,20662.0,2006.0,2896.0,0.0006164118210702,0.0023030861354214,6.403163792799587e-05,0.3155153798116116,0.0002370902226263,2.878133200382686e+105,143.46666666666667
172,11021.0,2006.0,3289.0,0.0006486324666987,0.0018424689083371,6.634985574993367e-05,0.3094195487638583,0.0002872809719191,3.1877340837670157e+105,161.58333333333334
173,4020.0,2004.0,1946.0,0.012775825846689,0.0212071778140293,0.0002704879940619,0.3731101660816243,0.0003876343712619,2.1819334182008496e+78,191.83516483516485
174,1794.0,2001.0,2386.0,0.0335978404875752,0.0343987823439878,0.0004656875722552,0.3858923971355141,0.000146570004077,2.034463278447272e+57,170.91150442477877
178,1799.0,2006.0,39.0,0.0079650182660203,0.0179341025997497,0.0001607036377541,0.3549536012671938,0.0,4.885143949870693e+113,239.93798449612405
186,1801.0,2002.0,896.0,0.007315593611998,0.0142262317834836,0.0002667163350942,0.3455386328619476,9.669090167512006e-05,8.113971484027758e+48,110.29268292682929
194,51295.0,2003.0,2521.0,0.006802395668727,0.0166637736504079,0.0001733333517531,0.3521802035544396,3.682327589488528e-05,1.5565006794574522e+100,185.22916666666663
200,22316.0,2007.0,,,,,,,,
206,38835.0,2004.0,4501.0,7.007387220082365e-07,0.0010747735298633,0.0001168683556163,0.2194729832471934,0.0,3.720421770256334e+99,8.857142857142858
227,22464.0,2002.0,,,,,,,,
235,22486.0,2008.0,3287.0,1.53581713741238e-05,0.0057281721923277,0.0001607376436421,0.253688978415653,0.0,7.935010261646857e+94,39.48484848484848
239,1838.0,2004.0,1359.0,0.0353192317505428,0.0403481012658227,0.0004601309319869,0.3846545983961242,0.0001432886479642,2.6831999429367656e+69,190.4183006535948
249,14362.0,2007.0,4780.0,4.252395203861636e-05,0.0015622287797257,8.478075680825814e-05,0.2592199499284956,0.0,6.081498949476248e+95,21.11111111111111
254,4980.0,2000.0,,4.695771102526988e-09,0.0001592800541552,2.830442674951976e-05,0.1699090730230397,,4.958636688133358e+162,6.0
282,22583.0,2005.0,,,,,,,,
287,61447.0,2010.0,2964.0,0.0010812496488647,0.0037946428571428,7.928499786005554e-05,0.3065492414273634,0.0002589890958237,2.0165822315744379e+124,147.7058823529412
297,22642.0,2004.0,3624.0,2.3976788605040047e-05,0.0002330459100442,3.937296673542932e-05,0.252054895149481,0.0,7.690783858363666e+72,41.0
305,22656.0,2007.0,2658.0,1.390164831394133e-32,0.0001252034556153,0.0001251877816725,0.0001252034556153,0.0,1.543080634815243,1.0
308,10866.0,2003.0,3573.0,7.67399781714629e-05,0.0015353907569476,5.642648608258252e-05,0.2733225959903527,8.1835145910531e-06,4.462664946256065e+103,42.3
314,15963.0,2003.0,2725.0,0.0278721156537624,0.0395569620253164,0.0004799901723965,0.3826914071828061,0.000433748018747,1.6711837919311405e+69,169.00666666666666
329,18761.0,2005.0,4255.0,1.2855996223180968e-05,0.0004606172270842,4.394174942167726e-05,0.2505830670388926,1.1338719368404957e-06,1.2510818399246375e+102,35.666666666666664
332,22731.0,2007.0,2470.0,0.0001183541030982,0.0017358097552508,6.765959009637863e-05,0.2804693916691461,0.0,4.711469491776899e+96,52.3
340,28451.0,2006.0,189.0,0.0096704452587717,0.0185731643811838,0.0001813570274843,0.3619071096174716,4.630046594208789e-05,3.145374089688907e+100,229.82242990654208
341,14217.0,2007.0,2711.0,0.0001106427774941,0.0007676953784738,4.021306743651668e-05,0.2759104233999246,0.0,9.274664911692348e+103,68.2
347,86093.0,2008.0,3914.0,3.5579936701618178e-06,0.0001252034556153,2.1167106235023775e-05,0.2341192288095097,0.0,9.177238819844668e+113,20.0
350,28763.0,2009.0,4692.0,0.0007474955603867,0.002415458937198,6.246904513521572e-05,0.314820584039371,0.0,1.2148330447371077e+87,139.58333333333334
354,22776.0,2007.0,3863.0,0.0079656960637735,0.0184901988043931,0.0001925388277537,0.3550951459412778,0.0007689718874361,4.885975154311986e+113,232.9323308270677
371,22817.0,2007.0,2220.0,0.0010702999398299,0.0037820512820512,5.639873747803496e-05,0.2906063363620882,5.495767395854107e-05,3.99242609956982e+148,156.72881355932202
387,27421.0,2002.0,1496.0,0.0006856620559399,0.0024353120243531,0.0001051640146556,0.295039559626822,0.0,8.4726913346858e+53,66.5
398,86606.0,2009.0,10728.0,0.000198466498162,0.0003846153846153,1.767978946987786e-05,0.266352815083494,0.0,1.3745431290411283e+147,241.66666666666663
413,22928.0,2005.0,4785.0,0.0001172934157702,0.0003471619510501,3.0856119061501974e-05,0.2747426990020994,0.0,4.627041371540743e+96,137.0
414,22929.0,2005.0,,,,,,,,
419,982.0,2001.0,8641.0,0.0014056763197126,0.0044083326130175,4.904453733544253e-05,0.3010068296180247,0.0,3.7095305834585627e+133,215.09803921568627
436,17981.0,2004.0,4038.0,0.0062662421500754,0.0118035063357056,0.0001370759154211,0.3555574110753836,7.311979431330494e-05,1.3207566171793286e+100,222.0735294117647
466,23065.0,2004.0,6590.0,5.624547248782788e-05,0.0008643789437289,2.601775393996624e-05,0.2531681878003872,0.0,5.884801942775905e+130,85.5
487,23126.0,2000.0,,,,,,,,
490,28498.0,2000.0,913.0,0.0184367977949953,0.0382383966244725,0.0004962669752703,0.3717706188993831,0.0013562942570687,7.275386243171766e+68,162.64137931034483
496,1973.0,2002.0,2082.0,0.0017235686335332,0.0064412238325281,0.0001074654068042,0.3261793668042659,5.0058576988932186e-05,6.464508504909041e+87,112.1875
524,1982.0,2002.0,2796.0,0.0276572695462299,0.0345464135021097,0.0003998040541845,0.3773839768628567,9.722699048678216e-05,1.6454422548191692e+69,185.70992366412213
552,23314.0,2002.0,,,,,,,,
555,23320.0,2003.0,,0.0039534256069596,0.011025641025641,8.310787629877565e-05,0.3089093626399485,0.0,5.414771273320012e+149,279.98837209302326
561,2005.0,2000.0,171.0,0.0283911966498278,0.049618320610687,0.0007791370166548,0.3905446572673898,0.0014144450199781,1.2233184948334731e+50,113.12587412587412
565,20818.0,2003.0,2926.0,0.0003758926758034,0.0034716195105016,8.034746639477176e-05,0.2960104809650651,0.0,4.7533921343570926e+97,68.55
569,23358.0,2000.0,11679.0,1.0326478898725368e-31,0.0001098116729808,5.490282200505106e-05,0.0001098116729808,0.0,2.7082716604245207,2.0
587,23423.0,2007.0,,0.0002743354479266,0.0018715406363238,2.143341987724964e-05,0.2609824769307404,,1.6956778804532895e+172,202.7872340425532
589,23430.0,2003.0,1597.0,0.0034883523755268,0.0127063704728152,0.0001196816723146,0.3205507801960133,4.868084131947751e-05,2.284693378433985e+134,204.9183673469388
594,23449.0,2006.0,5737.0,2.047654483709125e-05,0.0003348214285714,3.705967960053896e-05,0.2526330344994738,3.788518502537327e-05,7.228724511227538e+120,36.66666666666666
603,23459.0,2004.0,12359.0,6.236558091479865e-06,0.0003294350189425,1.5836794079967592e-05,0.2304910889228553,4.838867168249915e-06,9.301765370482044e+149,40.5
607,90022.0,2009.0,1001.0,0.0011493376296624,0.006025641025641,8.698566932329131e-05,0.299317497887417,0.0001313134513978,4.603169304041143e+148,134.19148936170214
614,76311.0,2000.0,3799.0,8.132280891078959e-07,9.813542688910696e-05,1.784153177364096e-05,0.2173668419219254,0.0,2.0796119443522015e+122,21.0
617,10937.0,2004.0,1279.0,0.001945369373322,0.0060654008438818,0.0001833007195829,0.321137350064795,0.0005895234728342,8.141538245132601e+66,81.3913043478261
622,23542.0,2004.0,,0.0019806199994364,0.0062561277370558,8.439530412727024e-05,0.3074281511770168,,2.467084175161784e+163,188.63432835820896
626,4295.0,2004.0,433.0,0.0065521457981315,0.019122383252818,0.0002795736943075,0.3649805674408923,0.0008321426961024,9.340141320295884e+88,136.2842105263158
628,2044.0,2003.0,2285.0,0.0376438870887905,0.0424578059071729,0.0004781682264003,0.3907121511267718,0.0001458881112327,3.0473547306836283e+69,200.6770186335404
632,2058.0,2001.0,2754.0,0.0255268204248512,0.0279535864978902,0.0003323715993266,0.375870573368698,7.330480954679324e-05,1.4015296628717832e+69,205.3679245283019
650,24445.0,2004.0,2670.0,6.602600656221708e-42,0.0004660918200885,0.0002329916123019,0.0004660918200885,0.0,2.7082716604245105,2.0
661,18680.0,2000.0,566.0,0.0052647009745497,0.0149201943095072,0.0003121659334272,0.3385857771305448,0.0002652225815801,4.2010599398572985e+48,86.69767441860465
664,18591.0,2005.0,508.0,1.6637316683950978e-08,0.0001535390756947,3.45854258022942e-05,0.1929818936837158,0.0,2.0918279508599529e+96,14.0
665,2084.0,2001.0,515.0,0.0255968528601035,0.042678695350451,0.0006641608245333,0.3803802737126912,0.0007935337924337,9.931600346323656e+49,128.28455284552845
685,23826.0,2005.0,,2.3150665934214974e-07,0.0003070781513895,6.929804943739337e-05,0.2056157328774124,0.0,4.0596054366704416e+98,4.5
686,16630.0,2006.0,1888.0,7.739857266149679e-05,0.001610305958132,0.0001332364750282,0.2749287322979452,0.0,1.297995004815566e+85,34.875
688,92556.0,2009.0,1457.0,0.0010257035646717,0.0056919642857142,0.0001000785055157,0.312719514525433,0.0001027239020907,1.81356008369243e+124,113.70588235294116
699,16235.0,2004.0,818.0,0.0244152122100911,0.0357291811483386,0.0003273511849179,0.3749152046104409,0.0008393291206094,4.5924760897027577e+114,281.1322957198444
701,2106.0,2004.0,1294.0,0.0103728972401408,0.02073268921095,0.0002325279988935,0.3661363392377885,0.0001260485863375,2.341044585900948e+89,185.4271844660194
