node,index,country,continent,industry,bipartite,id,eigen_max,eigen_min,pages_max,pages_min,degcen_max,degcen_min,bet_max,bet_min,avg_max,avg_min,newman_max,newman_min,vote_min,vote_max,sub_max,sub_min,clo_max,clo_min,num
NeuroMolecular Pharmaceuticals,20125.0,United States,North America,Pharmaceuticals / Drugs,1,15,,,,,,,,,,,,,,,,,,,1
AngioScore,18536.0,United States,North America,Medical Devices & Equipment,1,17,0.101616194,0.001982971,0.003299033,8.05e-05,0.09869956699999999,0.001000333,0.029136935,0.0,217.0,217.0,0.027181515,0.0,10.0,46.0,1.2300000000000001e+39,4.7e+35,0.425624516,0.304957517,4
Prematics,18285.0,United States,North America,Healthcare Software,1,19,0.10404459699999999,0.006769365,0.003282155,0.000220865,0.07254509,0.004008016,0.024716357,4.54e-06,79.06944444,79.06944444,0.023125338,6.73e-06,10.0,1456.0,9.87e+25,4.18e+23,0.408753236,0.309002031,9
Emphasys Medical,21524.0,United States,North America,Medical Devices & Equipment,1,26,0.000263168,0.000263168,0.000234835,0.000234835,0.0023341110000000003,0.0023341110000000003,0.000207763,0.000207763,22.57142857,22.57142857,0.000207763,0.000207763,913.0,913.0,8.26e+33,8.26e+33,0.265837422,0.265837422,1
ev3,21526.0,United States,North America,Medical Devices & Equipment,1,27,0.019302039,0.000246674,0.001342586,7.65e-05,0.031677226,0.0006668889999999999,0.008639278,0.0,71.83157895,71.83157895,0.008336921,0.0,71.0,539.0,4.45e+37,7.26e+33,0.368942415,0.26681069,3
PercSys,11242.0,United States,North America,Medical Devices & Equipment,1,32,0.002039109,0.002039109,0.00029131,0.00029131,0.002817695,0.002817695,0.0005856030000000001,0.0005856030000000001,20.9,20.9,0.000630767,0.000630767,650.0,650.0,4.17e+18,4.17e+18,0.23333961,0.23333961,1
Regency Healthcare Group,21592.0,United States,North America,Medical Facilities & Services,1,34,0.103825951,0.007212161,0.004371772,0.00044934900000000004,0.122844069,0.009503695999999999,0.047612824000000005,0.0010472980000000001,95.32467532,95.32467532,0.044651277,0.00105472,2.0,420.0,5.63e+37,2.7200000000000003e+35,0.433054864,0.334134595,5
SpectraGenetics,40948.0,United States,North America,Biotechnology,1,45,0.012311568,0.004264614,0.000766814,0.00043161199999999995,0.017247448000000002,0.008799718,0.002658412,0.001413561,88.83673469,88.83673469,0.002681761,0.0013669379999999998,338.0,769.0,7.92e+35,9.5e+34,0.345800259,0.32544833,2
Q Therapeutics,6227.0,United States,North America,Pharmaceuticals / Drugs,1,46,0.000858868,1.05e-05,0.00021783099999999998,0.000205774,0.002136752,0.000712251,0.001329602,0.000665055,40.16666667,40.16666667,0.001329602,0.000665055,1035.0,1035.0,1.86e+29,2.8e+25,0.284423851,0.218074331,2
EndoMedix,21774.0,United States,North America,Medical Devices & Equipment,1,53,0.02513319,0.003584635,0.001329646,0.00030505,0.032407407,0.007122506999999999,0.0060294369999999995,3.5799999999999996e-05,67.12087912,67.12087912,0.005959021,4.71e-05,96.0,871.0,1.59e+32,3.23e+30,0.371182613,0.311174442,2
Tengion,1690.0,United States,North America,Medical Devices & Equipment,1,54,0.12519624599999998,0.017069886,0.004306266,0.000669377,0.11787749300000001,0.016381766000000002,0.047910517,0.0008657999999999999,93.07462687,93.07462687,0.044354539000000005,0.0008697539999999999,2.0,457.0,3.95e+33,7.34e+31,0.44137741399999997,0.356742024,5
Potentia Pharmaceuticals,7138.0,United States,North America,Biotechnology,1,64,0.065451642,0.0037324959999999996,0.002543572,0.000174113,0.072690897,0.003667889,0.021414814,6.16e-06,130.36363640000002,130.36363640000002,0.019725653,8.52e-06,16.0,58.0,5.12e+38,1.6600000000000002e+36,0.41789575,0.31781338800000003,4
Sequoia Pharmaceuticals,20683.0,United States,North America,Pharmaceuticals / Drugs,1,66,,,,,,,,,,,,,,,,,,,1
Sierra Neuropharmaceuticals,10917.0,United States,North America,Drug Development,1,67,0.067632363,0.024677004,0.002931213,0.000992915,0.073717949,0.025997151,0.021794275,0.001330113,88.71428571,88.71428571,0.020329721999999998,0.001303439,14.0,305.0,1.15e+33,1.53e+32,0.41901771600000004,0.368834063,6
Plurogen Therapeutics,20405.0,United States,North America,Pharmaceuticals / Drugs,1,76,0.048980456,0.020392685,0.00209003,0.0010174539999999999,0.061687229,0.02600867,0.007139325,0.005627696,92.75641026,92.75641026,0.0068356530000000006,0.005428161,35.0,322.0,2.8600000000000003e+38,4.97e+37,0.400786666,0.365142591,2
Cardiac Insight,54827.0,United States,North America,Medical Devices & Equipment,1,78,,,,,,,,,,,,,,,,,,,1
Ocera Therapeutics,1721.0,United States,North America,Biotechnology,1,79,,,,,,,,,,,,,,,,,,,1
Histogenics,11103.0,United States,North America,Pharmaceuticals / Drugs,1,81,,,,,,,,,,,,,,,,,,,1
Everist Health,38388.0,United States,North America,Medical Devices & Equipment,1,84,0.0019374429999999998,0.0019374429999999998,0.00025393599999999996,0.00025393599999999996,0.004223865,0.004223865,0.000558679,0.000558679,65.66666667,65.66666667,0.0005955,0.0005955,1449.0,1449.0,1.96e+34,1.96e+34,0.310258831,0.310258831,1
ReaMetrix,219.0,United States,North America,Drug Development,1,92,0.10092379900000001,0.006074488,0.002780743,0.000163522,0.05887640400000001,0.002247191,0.014053686999999999,0.0,85.6,85.6,0.013258608,0.0,21.0,560.0,1.34e+23,4.85e+20,0.39935745899999997,0.296903543,6
Abeome,11203.0,United States,North America,Biotechnology,1,119,0.076641978,0.0028038290000000003,0.00175022,0.00014735600000000002,0.036853933,0.0017977529999999998,0.004197994,0.0,68.80487805,68.80487805,0.004065705,0.0,91.0,532.0,7.71e+22,1.03e+20,0.374005077,0.279338558,5
ArunA Biomedical,22018.0,United States,North America,Biotechnology,1,121,0.018246168,0.011184032,0.001131361,0.000693476,0.026399155,0.015135516000000002,0.005617512,0.0044372629999999995,82.58666667,82.58666667,0.005839401,0.004467109,179.0,272.0,1.7400000000000002e+36,6.54e+35,0.358570434,0.351117233,2
InsectiGen,22022.0,United States,North America,Biotechnology,1,124,0.126171536,0.00931119,0.0037141279999999997,0.00021019799999999998,0.117212249,0.005279831,0.032248947,3.32e-05,136.5333333,136.5333333,0.029091067,4.46e-05,3.0,1590.0,8.32e+37,4.53e+35,0.429285892,0.32087528600000004,6
Biocytogen,22081.0,China,Asia,Biotechnology,1,141,5.679999999999999e-41,5.679999999999999e-41,0.000355999,0.000355999,0.000712251,0.000712251,0.0,0.0,2.0,2.0,0.0,0.0,943.0,1338.0,2.70827166,2.70827166,0.000712251,0.000712251,3
Argolyn Bioscience,17891.0,United States,North America,Biotechnology,1,159,,,,,,,,,,,,,,,,,,,1
Avancen,22185.0,United States,North America,Medical Devices & Equipment,1,160,0.063528214,0.045499377,0.003384851,0.002159625,0.09186906,0.06124604,0.024757728,0.006580473000000001,81.74137931,81.74137931,0.022511441,0.006124851999999999,9.0,36.0,2.11e+37,1.08e+37,0.421436679,0.398360111,2
Charleston Laboratories,22187.0,United States,North America,Pharmaceuticals / Drugs,1,162,0.113318793,0.003027701,0.00338939,0.000129411,0.078557114,0.001603206,0.021157477,0.0,80.78947368,80.78947368,0.020274115,0.0,7.0,420.0,1.17e+26,8.36e+22,0.416468444,0.293884036,5
KIYATEC,22189.0,United States,North America,Drug Development,1,163,0.056926367,0.005169044,0.002455726,0.00025104099999999997,0.064102564,0.00534188,0.012180008999999999,5.0900000000000004e-05,94.0,94.0,0.011435414,7.01e-05,26.0,1409.0,8.16e+32,6.72e+30,0.40982934600000004,0.322147436,4
Lab21,20662.0,United Kingdom,Europe,Medical Devices & Equipment,1,164,0.048451281,0.006059945,0.002763018,0.0009031639999999999,0.070749736,0.018303414,0.019327148,0.004294546,71.97512438,71.97512438,0.018367287,0.004363859,19.0,109.0,1.23e+37,1.9200000000000003e+35,0.40483379,0.335955244,2
Sabal Medical,11021.0,United States,North America,Healthcare Software,1,172,0.105347988,0.105347988,0.002871274,0.002871274,0.065330661,0.065330661,0.017266411000000002,0.017266411000000002,64.51533742,64.51533742,0.016102671000000002,0.016102671000000002,20.0,20.0,1.01e+26,1.01e+26,0.409880935,0.409880935,1
Mitralign,4020.0,United States,North America,Medical Devices & Equipment,1,173,0.051058087,0.008616024,0.002579665,0.00028738099999999996,0.065361646,0.00729927,0.018922722,7.62e-05,98.19354839,98.19354839,0.017934903999999998,8.740000000000001e-05,18.0,1730.0,2.91e+36,8.28e+34,0.38839552,0.322086456,5
USGI Medical,1794.0,United States,North America,Medical Devices & Equipment,1,174,0.126585242,0.024912112,0.0046322590000000005,0.00130641,0.125269203,0.033740129,0.048221652999999996,0.003247737,78.81914894,78.81914894,0.044820022,0.003151517,0.0,179.0,1.91e+35,7.37e+33,0.433748908,0.375806136,3
Valeritas,1799.0,United States,North America,Drug Delivery,1,178,1.3399999999999999e-37,1.3399999999999999e-37,0.000355999,0.000355999,0.001068376,0.001068376,0.0,0.0,3.0,3.0,0.0,0.0,754.0,974.0,5.2972938119999995,5.2972938119999995,0.001068376,0.001068376,3
Vantage Oncology,1801.0,United States,North America,Medical Facilities & Services,1,186,0.093391154,0.0026801459999999996,0.002233877,0.000145059,0.048988764000000004,0.001348315,0.008128723000000001,0.0,64.93577982,64.93577982,0.007784328,0.0,52.0,1040.0,1.15e+23,9.43e+19,0.39482941299999996,0.285305409,4
Intersect ENT,51295.0,United States,North America,Drug Delivery,1,194,2.3e-33,2.3e-33,0.000351865,0.000351865,0.0007039769999999999,0.0007039769999999999,0.0,0.0,2.0,2.0,0.0,0.0,946.0,1364.0,2.70827166,2.70827166,0.0007039769999999999,0.0007039769999999999,3
Synapsin Pharmaceuticals,22316.0,United States,North America,Pharmaceuticals / Drugs,1,200,0.025329577000000002,0.017036941,0.001278703,0.001105654,0.033381192000000004,0.025125627999999997,0.004229828,0.002262685,79.94623656,79.94623656,0.004137048,0.0022823220000000003,145.0,173.0,7.62e+33,3.45e+33,0.367734898,0.356071254,2
INDIGO Biosciences,38835.0,United States,North America,Biotechnology,1,206,0.059541829000000004,0.028207187999999998,0.002182388,0.000943375,0.063039151,0.026211015,0.008385716,0.0013882270000000001,92.84810127,92.84810127,0.007862938,0.001492775,26.0,278.0,3.95e+36,8.870000000000001e+35,0.395301387,0.35439690100000004,2
AGD Nutrition,22464.0,United States,North America,Drug Manufacturing,1,227,0.10092379900000001,0.003693094,0.002780743,0.00020255700000000002,0.05887640400000001,0.0026966290000000003,0.014053686999999999,0.0,58.95238095,58.95238095,0.013258608,0.0,21.0,1185.0,1.34e+23,1.79e+20,0.39935745899999997,0.287365528,7
Almedtrac,22486.0,United States,North America,Healthcare Software,1,235,0.002949433,6.23e-05,0.000501446,8.340000000000001e-05,0.008336112,0.0006668889999999999,0.0013384629999999998,1.46e-06,46.12,46.12,0.0016485360000000001,1.98e-06,302.0,302.0,1.04e+36,4.62e+32,0.31552008600000003,0.24441489800000002,2
VLST Corporation,1838.0,United States,North America,Biotechnology,1,239,0.065451642,0.005438946,0.002543572,0.000402593,0.072690897,0.009003001,0.021414814,0.000455039,88.4,88.4,0.019725653,0.000505027,16.0,573.0,5.12e+38,3.5300000000000004e+36,0.41789575,0.332853275,6
Arteriocyte,14362.0,United States,North America,Drug Development,1,249,,,,,,,,,,,,,,,,,,,1
Asterand Bioscience,4980.0,United States,North America,Drug Discovery,1,254,0.00039797199999999996,0.00039797199999999996,0.00026994,0.00026994,0.002247191,0.002247191,0.0,0.0,11.4,11.4,0.0,0.0,1165.0,1165.0,2.08e+18,2.08e+18,0.24838396,0.24838396,1
BioProtection Systems,22583.0,United States,North America,Biotechnology,1,282,0.036631217,0.007079873,0.0024280729999999998,0.000391093,0.06230200599999999,0.009855685,0.01208044,0.000122476,94.64285714,94.64285714,0.011802375,0.000144168,22.0,1122.0,7.010000000000001e+36,2.62e+35,0.39066172200000004,0.329491977,3
Comprehend Systems,61447.0,United States,North America,Internet Software & Services,1,287,0.049297132,0.013817301,0.002372275,0.000552528,0.063890883,0.014716439,0.010034882,0.00031602700000000003,109.07317069999999,109.07317069999999,0.009368388,0.000316478,22.0,1489.0,2.89e+34,2.27e+33,0.397723974,0.348153929,3
Cellular Dynamics International,22642.0,United States,North America,Drug Development,1,297,0.002501459,0.002501459,0.000441986,0.000441986,0.005743001,0.005743001,0.001958861,0.001958861,45.9375,45.9375,0.001982658,0.001982658,550.0,550.0,7.44e+31,7.44e+31,0.308727495,0.308727495,1
Clearflow,22656.0,United States,North America,Medical Devices & Equipment,1,305,0.0040089190000000005,7.62e-05,0.0005191,9.65e-05,0.007178751,0.000717875,0.002124832,0.0,76.7,76.7,0.002196098,0.0,305.0,761.0,1.91e+32,6.91e+28,0.311883142,0.240961857,3
CleveX,10866.0,United States,North America,Medical Devices & Equipment,1,308,0.067632363,0.0029100190000000002,0.002931213,0.000376484,0.073717949,0.00534188,0.021794275,0.000147237,88.10344828,88.10344828,0.020329721999999998,0.000164111,14.0,1151.0,1.15e+33,2.13e+30,0.41901771600000004,0.31746894600000003,6
Alimera Sciences,15963.0,United States,North America,Pharmaceuticals / Drugs,1,314,0.059685216,0.015139399,0.0026972529999999997,0.000881716,0.07369123,0.020340113,0.018952906000000002,0.001995095,90.88181818,90.88181818,0.017647991000000002,0.001922796,15.0,283.0,4.26e+38,2.7400000000000003e+37,0.411730935,0.35092957700000005,5
Cambridge Temperature Concepts,18761.0,United Kingdom,Europe,Medical Devices & Equipment,1,329,0.12519624599999998,0.020034382,0.004306266,0.000785059,0.11787749300000001,0.019230768999999998,0.047910517,0.002000419,88.2962963,88.2962963,0.044354539000000005,0.001987357,2.0,363.0,3.95e+33,1.01e+32,0.44137741399999997,0.362553015,5
DiscoveryBioMed,22731.0,United States,North America,Drug Discovery,1,332,0.000333943,0.000333943,0.000234525,0.000234525,0.002322495,0.002322495,0.00020445200000000001,0.00020445200000000001,23.85714286,23.85714286,0.00020445200000000001,0.00020445200000000001,896.0,896.0,1.24e+32,1.24e+32,0.259112454,0.259112454,1
Asensus Surgical,28451.0,United States,North America,Medical Devices & Equipment,1,340,2.72e-06,2.72e-06,0.000388781,0.000388781,0.0014088479999999999,0.0014088479999999999,0.000478087,0.000478087,6.2,6.2,0.000478087,0.000478087,737.0,737.0,7430700000000.0,7430700000000.0,0.15961113,0.15961113,1
