"","x"
"1","27.0"
"2","29.0"
"3","64.0"
"4","65.0"
"5","85.0"
"6","100.0"
"7","184.0"
"8","206.0"
"9","219.0"
"10","254.0"
"11","312.0"
"12","313.0"
"13","340.0"
"14","364.0"
"15","366.0"
"16","367.0"
"17","380.0"
"18","413.0"
"19","414.0"
"20","424.0"
"21","444.0"
"22","454.0"
"23","459.0"
"24","461.0"
"25","484.0"
"26","523.0"
"27","525.0"
"28","526.0"
"29","527.0"
"30","537.0"
"31","557.0"
"32","559.0"
"33","586.0"
"34","670.0"
"35","675.0"
"36","694.0"
"37","704.0"
"38","713.0"
"39","742.0"
"40","746.0"
"41","747.0"
"42","773.0"
"43","818.0"
"44","829.0"
"45","835.0"
"46","844.0"
"47","868.0"
"48","904.0"
"49","912.0"
"50","921.0"
"51","982.0"
"52","993.0"
"53","997.0"
"54","1010.0"
"55","1038.0"
"56","1053.0"
"57","1109.0"
"58","1112.0"
"59","1116.0"
"60","1128.0"
"61","1162.0"
"62","1165.0"
"63","1186.0"
"64","1189.0"
"65","1190.0"
"66","1216.0"
"67","1233.0"
"68","1236.0"
"69","1238.0"
"70","1256.0"
"71","1264.0"
"72","1269.0"
"73","1282.0"
"74","1317.0"
"75","1319.0"
"76","1334.0"
"77","1344.0"
"78","1353.0"
"79","1450.0"
"80","1456.0"
"81","1458.0"
"82","1471.0"
"83","1520.0"
"84","1525.0"
"85","1596.0"
"86","1615.0"
"87","1624.0"
"88","1625.0"
"89","1626.0"
"90","1645.0"
"91","1655.0"
"92","1658.0"
"93","1660.0"
"94","1681.0"
"95","1690.0"
"96","1713.0"
"97","1721.0"
"98","1731.0"
"99","1734.0"
"100","1784.0"
"101","1794.0"
"102","1799.0"
"103","1801.0"
"104","1804.0"
"105","1813.0"
"106","1833.0"
"107","1834.0"
"108","1838.0"
"109","1874.0"
"110","1888.0"
"111","1901.0"
"112","1918.0"
"113","1936.0"
"114","1941.0"
"115","1951.0"
"116","1973.0"
"117","1982.0"
"118","1999.0"
"119","2003.0"
"120","2005.0"
"121","2044.0"
"122","2058.0"
"123","2080.0"
"124","2081.0"
"125","2084.0"
"126","2106.0"
"127","2157.0"
"128","2184.0"
"129","2195.0"
"130","2233.0"
"131","2275.0"
"132","2292.0"
"133","2295.0"
"134","2315.0"
"135","2341.0"
"136","2366.0"
"137","2430.0"
"138","2448.0"
"139","2452.0"
"140","2453.0"
"141","2487.0"
"142","2493.0"
"143","2497.0"
"144","2519.0"
"145","2540.0"
"146","2541.0"
"147","2865.0"
"148","3130.0"
"149","3575.0"
"150","3587.0"
"151","3601.0"
"152","3614.0"
"153","3747.0"
"154","3830.0"
"155","3838.0"
"156","3851.0"
"157","3853.0"
"158","3856.0"
"159","3862.0"
"160","3869.0"
"161","3883.0"
"162","3926.0"
"163","3931.0"
"164","3982.0"
"165","3991.0"
"166","4006.0"
"167","4020.0"
"168","4034.0"
"169","4049.0"
"170","4144.0"
"171","4295.0"
"172","4422.0"
"173","4434.0"
"174","4444.0"
"175","4448.0"
"176","4486.0"
"177","4560.0"
"178","4597.0"
"179","4611.0"
"180","4616.0"
"181","4617.0"
"182","4620.0"
"183","4623.0"
"184","4627.0"
"185","4651.0"
"186","4653.0"
"187","4732.0"
"188","4769.0"
"189","4774.0"
"190","4798.0"
"191","4830.0"
"192","4844.0"
"193","4845.0"
"194","4882.0"
"195","4886.0"
"196","4915.0"
"197","4927.0"
"198","4935.0"
"199","4948.0"
"200","4972.0"
"201","4980.0"
"202","4988.0"
"203","5066.0"
"204","5133.0"
"205","5225.0"
"206","5226.0"
"207","5258.0"
"208","5335.0"
"209","5413.0"
"210","5443.0"
"211","5452.0"
"212","5511.0"
"213","5542.0"
"214","5553.0"
"215","5568.0"
"216","5624.0"
"217","5647.0"
"218","5668.0"
"219","5723.0"
"220","5731.0"
"221","5755.0"
"222","5761.0"
"223","5764.0"
"224","5767.0"
"225","5780.0"
"226","5781.0"
"227","5785.0"
"228","5796.0"
"229","5799.0"
"230","5807.0"
"231","5814.0"
"232","5867.0"
"233","5901.0"
"234","5920.0"
"235","5931.0"
"236","5941.0"
"237","5958.0"
"238","5964.0"
"239","6004.0"
"240","6011.0"
"241","6035.0"
"242","6040.0"
"243","6065.0"
"244","6103.0"
"245","6122.0"
"246","6130.0"
"247","6149.0"
"248","6174.0"
"249","6175.0"
"250","6205.0"
"251","6227.0"
"252","6243.0"
"253","6244.0"
"254","6288.0"
"255","6343.0"
"256","6374.0"
"257","6429.0"
"258","6471.0"
"259","6613.0"
"260","6626.0"
"261","6631.0"
"262","6635.0"
"263","6636.0"
"264","6647.0"
"265","6653.0"
"266","6676.0"
"267","6677.0"
"268","6678.0"
"269","6693.0"
"270","6695.0"
"271","6710.0"
"272","6737.0"
"273","6748.0"
"274","6762.0"
"275","6773.0"
"276","6784.0"
"277","6844.0"
"278","6885.0"
"279","6894.0"
"280","6905.0"
"281","6906.0"
"282","6908.0"
"283","6928.0"
"284","6940.0"
"285","6947.0"
"286","6951.0"
"287","6971.0"
"288","6978.0"
"289","6995.0"
