,Money raised,Pre-money valuation
0,"$250,000",—
1,—,—
2,"$750,000",—
3,—,—
4,"$40,000,000",—
5,"$2,400,000",—
6,"$60,000",—
7,"$415,998",—
8,"€3,500,000",—
9,"$70,000,000",—
10,"$1,700,000",—
11,"CN¥50,000,000",—
12,"CA$2,850,000",—
13,"€480,000",—
14,"€500,000",—
15,"$6,500,000",—
16,—,—
17,—,—
18,—,—
19,"€50,000",—
20,"$500,000",—
21,"$502,000",—
22,—,—
23,—,—
24,"$100,000",—
25,"$800,000",—
26,"$917,490",—
27,"€1,000,000",—
28,"$733,883",—
29,—,—
30,"$940,942",—
31,—,—
32,—,—
33,"$93,164",—
34,"¥8,050,140",—
35,—,—
36,—,—
37,"$2,000,000",—
38,—,—
39,"€6,000,000",—
40,"$6,000,000",—
41,"$298,820",—
42,"$1,249,999",—
43,—,—
44,"$100,000",—
45,"$4,099,999",—
46,"$1,660,000",—
47,—,—
48,—,—
49,"CA$13,000,000",—
50,—,—
51,"$2,000,000",—
52,"$1,400,000",—
53,—,—
54,"£10,000,000",—
55,"$2,550,000",—
56,"$9,700,000",—
57,"$2,989,909",—
58,—,—
59,—,—
60,"$350,000",—
61,—,—
62,—,—
63,"$25,000,000",—
64,—,—
65,—,—
66,"$700,017",—
67,"$125,000,000",—
68,—,—
69,"$1,500,000",—
70,—,—
71,—,—
72,"$69,575",—
73,"$215,000,000","$3,500,000,000"
74,—,—
75,"$150,000",—
76,"$1,000,000",—
77,—,—
78,—,—
79,"$7,800",—
80,"$2,999,998",—
81,"€5,400,000",—
82,"$679,413",—
83,"$52,400,000",—
84,"$750,000",—
85,"$1,650,000","$15,000,000"
86,"€170,000",—
87,"$500,000",—
88,"$6,200,000",—
89,"$650,000",—
90,"€6,700,000",—
91,—,—
92,"$57,000,000",—
93,"CN¥3,000,000",—
94,"$5,000,000",—
95,"$30,000,000",—
96,"$7,000,000",—
97,"$140,000",—
98,"$1,416,574",—
99,—,—
100,"$2,575,000",—
101,—,—
102,"$750,000",—
103,"$3,000,000",—
104,"$7,500,000",—
105,—,—
106,"$2,500",—
107,"$15,000,000",—
108,"$1,000,000",—
109,"$2,000,000",—
110,"$156,500",—
111,"$20,829,775",—
112,"SGD5,000,000",—
113,"$3,200,000",—
114,"$430,016",—
115,"$3,000,000",—
116,—,—
117,"$290,000",—
118,"$8,000,000",—
119,"SEK4,300,000",—
120,"$10,600,378",—
121,"$100,000",—
122,—,—
123,"$2,500,000",—
124,"$1,000,000",—
125,"CN¥3,000,000",—
126,"$14,000,000",—
127,—,—
128,—,—
129,—,—
130,—,—
131,—,—
132,"$5,000,000",—
133,—,—
134,—,—
135,—,—
136,—,—
137,"$75,000,000",—
138,"$500,000",—
139,—,—
140,"$587,295",—
141,—,—
142,—,—
143,"$2,000,000",—
144,—,—
145,"$3,604,750",—
146,—,—
147,—,—
148,"MX$109,780,000",—
149,—,—
150,—,—
151,—,—
152,—,—
153,"$1,150,000",—
154,—,—
155,"$3,480,000",—
156,—,—
157,"$5,500,000",—
158,"$2,500,000",—
159,"$450,000",—
160,"CN¥97,000,000",—
161,"CN¥10,000,000",—
162,"CN¥30,000,000",—
163,—,—
164,"$131,700",—
165,"$1,518,126",—
166,"SEK12,000,000",—
167,"$125,000",—
168,—,—
169,"$3,000,000",—
170,"$6,000,000",—
171,"€575,000",—
172,"$125,000",—
173,"$1,722,000",—
174,"$125,000",—
175,"$10,549,997",—
176,—,—
177,"$66,000,000",—
178,"$125,000",—
179,"€500,000",—
180,—,—
181,—,—
182,"₹10,000,000",—
183,"$1,000,000",—
184,—,—
185,"$10,200,000",—
186,"$700,000",—
187,—,—
188,—,—
189,"$365,000","$5,000,000"
190,"$2,000,000",—
191,—,—
192,"$2,200,000",—
193,—,—
194,"$9,000,000",—
195,"$25,000,000",—
196,"$538,000",—
197,"$4,000,000",—
198,"$4,000,000",—
199,"$45,000,000",—
200,"$2,300,000",—
201,"$6,000,000",—
202,"£10,000",—
203,"$18,300,000",—
204,"£10,000",—
205,"£10,000",—
206,"$2,300,000",—
207,"$250,000",—
208,"$25,000,000",—
209,"CN¥3,000,000",—
210,"$525,000",—
211,"$40,000,000",—
212,"£250,000",—
213,—,—
214,—,—
215,—,—
216,"CHF500,000",—
217,—,—
218,—,—
219,—,—
220,"$1,000,000",—
221,"€1,500,000",—
222,—,—
223,—,—
224,"$5,000,000",—
225,—,—
226,—,—
227,"$4,170,000",—
228,"$37,500",—
229,"$4,000,000",—
230,—,—
231,"€7,700,000",—
232,"CA$1,600,000",—
233,"$100,000",—
234,"$750,000",—
235,—,—
236,—,—
237,"$1,325,000","$10,000,000"
238,—,—
239,"$3,800,000",—
240,"€50,000",—
241,"£974,822",—
242,—,—
243,"£99,965",—
244,"$250,000",—
245,"€160,000","€2,000,000"
246,—,—
247,"£8,848",—
248,"$3,000,000",—
249,—,—
250,"$150,000","$750,000"
251,"$1,750,000","$10,000,000"
252,"$1,200,000",—
253,"$1,500,000",—
254,"£93,318",—
255,"$12,000","$750,000"
256,—,—
257,"$50,000",—
258,"£800,000",—
259,"$243,164",—
260,"€50,000",—
261,—,—
262,"$70,000,000",—
263,—,—
264,"$27,000",—
265,"$225,000",—
266,"$50,000",—
267,—,—
268,—,—
269,—,—
270,"$40,000",—
271,"£89,979",—
272,"DKK3,000,000",—
273,"£98,650",—
274,—,—
275,"£98,143",—
276,—,—
277,"$16,000,000",—
278,"£999,960",—
279,—,—
280,"£1,095,879",—
281,"£2,600,000",—
282,"$4,500,000",—
283,"$467,487",—
284,"£949,196",—
285,"£100,000",—
286,"$4,000,000",—
287,—,—
288,—,—
289,"$40,000,000",—
290,—,—
291,"$225,000",—
292,—,—
293,"$15,000",—
294,"CN¥10,000,000",—
295,—,—
296,"$200,000",—
297,"$550,000",—
298,"$28,000,000",—
299,"$3,000,000",—
300,"$40,000",—
301,"CN¥10,000,000",—
302,—,—
303,—,—
304,"$450,000",—
305,—,—
306,"€32,000",—
307,"$3,100,000",—
308,"CN¥500,000",—
309,"$2,000,000",—
310,"$4,200,000",—
311,"$27,400,000",—
312,"$1,090,000",—
313,"$9,750,000",—
314,"$316,666",—
315,"$3,000,000",—
316,"€600,000",—
317,"CN¥50,000,000",—
318,"$2,500,000",—
319,"$21,188,467",—
320,"$3,350,000",—
321,"CN¥20,000,000",—
322,"$30,000",—
323,"$450,000",—
324,—,—
325,—,—
326,"SEK2,500,000",—
327,"$16,600,000",—
328,—,—
329,—,—
330,"$120,000",—
331,"$25,000",—
332,"£542,270",—
333,"CN¥350,000,000",—
334,"₹1,000,000,000",—
335,"A$1,250,000","A$4,250,000"
336,"$60,000,000",—
337,"$474,000,000","$2,526,000,000"
338,"$17,625,000",—
339,—,—
340,"£2,300,000",—
341,"CA$23,023,000",—
342,"$2,000,000",—
343,"$5,845,998",—
344,—,—
345,—,—
346,—,—
347,"$12,020,029",—
348,"$120,000",—
349,"CA$900,000",—
350,"$335,000",—
351,"$20,000,000",—
352,—,—
353,"$2,300,000",—
354,"$5,600,000",—
355,"$15,216,241",—
356,—,—
357,"$10,290,000",—
358,"$16,000,000",—
359,—,—
360,"$5,600,000",—
361,—,—
362,"CN¥20,000,000",—
363,—,—
364,—,—
365,—,—
366,"CN¥10,000,000",—
367,"$30,000,000",—
368,"$3,559,654",—
369,"$10,000,000",—
370,—,—
371,—,—
372,—,—
