,industry,index_x,target_founded,target_status,alive
18436,Pharmaceuticals / Drugs,24635.0,2000.0,Acquired,0
18448,Biotechnology,9840.0,2000.0,Acquired,0
18460,Medical Devices & Equipment,5335.0,2000.0,Acquired,0
18481,Elective & Aesthetic Medicine,25194.0,2007.0,Alive / Active,1
18492,Medical Devices & Equipment,2195.0,2001.0,Alive / Active,1
18497,Drug Discovery,81810.0,2001.0,IPO / Went public,0
18500,Drug Development,499621.0,2000.0,Dead / Inactive,0
18514,Medical Devices & Equipment,510867.0,2000.0,Alive / Active,1
18530,Healthcare Software,525420.0,2000.0,Dead / Inactive,0
18533,Healthcare Software,532889.0,2000.0,Acquired,0
18541,Biotechnology,536681.0,2000.0,Acquired,0
18546,Medical Devices & Equipment,502037.0,2000.0,Acquired,0
18616,Disease Diagnosis,534701.0,2000.0,Alive / Active,1
18735,Drug Development,534290.0,2000.0,Acquired,0
18982,Biotechnology,495922.0,2000.0,Acquired,0
18987,Biotechnology,526630.0,2000.0,Acquired,0
19015,Medical Devices & Equipment,494585.0,2000.0,Alive / Active,1
19033,Medical Equipment & Supplies,526667.0,2000.0,Dead / Inactive,0
19034,Medical Equipment & Supplies,528013.0,2000.0,Dead / Inactive,0
19043,Biotechnology,545516.0,2000.0,Alive / Active,1
19099,Internet Software & Services,46450.0,2004.0,Acquired,0
19302,Medical Devices & Equipment,9988.0,2000.0,IPO / Went public,0
19396,Biotechnology,36423.0,2000.0,Acquired,0
19400,Medical Devices & Equipment,36515.0,2004.0,Acquired,0
19405,Drug Discovery,4980.0,2000.0,Acquired,0
19424,Pharmaceuticals / Drugs,9844.0,2000.0,Alive / Active,1
19439,Pharmaceuticals / Drugs,25853.0,2000.0,Acquired,0
19451,Medical Facilities & Services,15994.0,2002.0,Alive / Active,1
19454,Biotechnology,44627.0,2000.0,Alive / Active,1
19468,Medical Facilities & Services,40757.0,2000.0,Acquired,0
19517,Drug Development,503382.0,2000.0,Acquired,0
19619,Drug Development,494663.0,2000.0,Acquired,0
19671,Biotechnology,519506.0,2000.0,Dead / Inactive,0
19691,Drug Discovery,18680.0,2000.0,Acquired,0
19732,Medical Facilities & Services,538385.0,2000.0,Acquired,0
19744,Medical Devices & Equipment,512679.0,2000.0,Dead / Inactive,0
19752,Disease Diagnosis,530817.0,2000.0,IPO / Went public,0
19753,Biotechnology,533255.0,2000.0,Dead / Inactive,0
19757,Medical Devices & Equipment,544065.0,2000.0,Dead / Inactive,0
19889,Pharmaceuticals / Drugs,1190.0,2000.0,Acquired,0
19952,Drug Development,520255.0,2000.0,Dead / Inactive,0
20016,Biotechnology,546845.0,2000.0,Dead / Inactive,0
20019,Biotechnology,36357.0,2000.0,Acquired,0
20108,Drug Development,550098.0,2000.0,Acquired,0
20122,Biotechnology,544764.0,2000.0,Dead / Inactive,0
20229,Medical Devices & Equipment,14929.0,2000.0,Alive / Active,1
20233,Medical Devices & Equipment,26582.0,2001.0,Acquired,0
20245,Medical Devices & Equipment,5226.0,2000.0,Alive / Active,1
20249,Medical Devices & Equipment,21524.0,2000.0,Alive / Active,1
20262,Internet Software & Services,3931.0,2000.0,Alive / Active,1
20264,Biotechnology,10371.0,2002.0,Alive / Active,1
20268,Medical Devices & Equipment,9281.0,2000.0,IPO / Went public,0
20283,Medical Facilities & Services,39717.0,2000.0,Alive / Active,1
20299,Pharmaceuticals / Drugs,9100.0,2000.0,Acquired,0
20300,Biotechnology,17586.0,2000.0,Acquired,0
20359,Drug Delivery,512939.0,2000.0,Alive / Active,1
20360,Drug Development,514749.0,2000.0,Dead / Inactive,0
20365,Medical Devices & Equipment,517516.0,2000.0,Acquired,0
20371,Drug Development,522926.0,2000.0,Acquired,0
20396,Drug Development,536304.0,2000.0,Acquired,0
20430,Biotechnology,43680.0,2000.0,Dead / Inactive,0
20439,Medical Devices & Equipment,5764.0,2005.0,Acquired,0
20457,Biotechnology,10723.0,2003.0,Acquired,0
20534,Healthcare Software,537678.0,2000.0,Dead / Inactive,0
20637,Drug Development,506294.0,2000.0,Acquired,0
20662,Biotechnology,513682.0,2000.0,Dead / Inactive,0
20682,Drug Development,527943.0,2000.0,Dead / Inactive,0
20718,Disease Diagnosis,549678.0,2000.0,Dead / Inactive,0
20822,Medical Equipment & Supplies,37586.0,2000.0,Acquired,0
20826,Medical Facilities & Services,43557.0,2000.0,Alive / Active,1
20835,Medical Devices & Equipment,497018.0,2000.0,Alive / Active,1
20837,Biotechnology,499772.0,2000.0,Dead / Inactive,0
20980,Pharmaceuticals / Drugs,42968.0,2000.0,Alive / Active,1
20990,Biotechnology,14956.0,2000.0,IPO / Went public,0
20996,Pharmaceuticals / Drugs,499868.0,2000.0,Dead / Inactive,0
20998,Biotechnology,510930.0,2000.0,Dead / Inactive,0
21004,Drug Development,528222.0,2000.0,Assets Purchased,0
21056,Medical Devices & Equipment,38891.0,2000.0,IPO / Went public,0
21086,Drug Development,527184.0,2000.0,Acquired,0
21152,Drug Discovery,23572.0,2000.0,Acquired,0
21155,Medical Devices & Equipment,44405.0,2003.0,Acquired,0
21159,Biotechnology,514036.0,2000.0,Dead / Inactive,0
21163,Biotechnology,526166.0,2000.0,Dead / Inactive,0
21263,Drug Development,17885.0,2000.0,Acquired,0
21266,Biotechnology,42295.0,2000.0,Alive / Active,1
21290,Biotechnology,17627.0,2000.0,Acquired,0
21291,Drug Development,6374.0,2000.0,Acquired,0
21292,Pharmaceuticals / Drugs,6951.0,2000.0,Acquired,0
21308,Drug Development,1112.0,2000.0,IPO / Went public,0
21313,Biotechnology,39591.0,2000.0,Alive / Active,1
21322,Pharmaceuticals / Drugs,1186.0,2000.0,Alive / Active,1
21332,Pharmaceuticals / Drugs,4732.0,2000.0,Alive / Active,1
21400,Drug Development,497906.0,2000.0,IPO / Went public,0
