,Organisation,Investors,Location
0, US Kidney Research Corporation , — ," Spokane, Washington, United States, North America"
1, GraphWear Technologies , — ," San Francisco, California, United States, North America"
2, RubiconMD , California HealthCare Foundation," New York, New York, United States, North America"
3, Emerging Implant Technologies , SHS Gesellschaft fur Beteiligungsmanagement," Tuttlingen, Baden-Wurttemberg, Germany, Europe"
4, T2 Biosystems , Canon.Com/Ijsetup - Ij.Start.Cannon," Lexington, Massachusetts, United States, North America"
5, Cyclica ," China Canada Angel Alliance, GreenSky Capital"," Toronto, Ontario, Canada, North America"
6, Maxwell Plus ," muru-D, RCL Accelerator"," Brisbane, Queensland, Australia, Oceania"
7, Ideal Implant , — ," Dallas, Texas, United States, North America"
8, Leukos Biotech , Inveready," Barcelona, Catalonia, Spain, Europe"
9, Sharecare , Swiss RE," Atlanta, Georgia, United States, North America"
10, Neuro Therapia , Alzheimer's Drug Discovery Foundation," Ohio, Illinois, United States, North America"
11, BSC ," RT-Hitech VC, Zhongcai Financial Holding Investment"," Haidian, Beijing, China, Asia"
12, XOR Labs Toronto ," Regenesis Limited Partnership, Toronto Innovation Acceleration Partners, XENiOS"," Toronto, Ontario, Canada, North America"
13, PLG Medical SIA , ZGI Capital," Jelgava, Jelgavas, Latvia, Europe"
14, GreenLight Medicines , — ," Dublin, Dublin, Ireland, Europe"
15, Datica ," Arthur Ventures, Baird Capital, Chicago Ventures, Lewis & Clark Ventures"," Minneapolis, Minnesota, United States, North America"
16, DailyRounds ," Accel, Beenos Partners, Powerhouse Ventures"," Bangalore, Karnataka, India, Asia"
17, Colgate Palmolive ," Taylor, Cottrill, Erickson & Associates, Inc."," New York, New York, United States, North America"
18, A2A Pharmaceuticals ," IndieBio, SOSV"," New York, New York, United States, North America"
19, Toxys , — ," Leiden, Zuid-Holland, The Netherlands, Europe"
20, Ultra Ink , — ," Atlanta, Georgia, United States, North America"
21, Bioxiness Pharmaceuticals , — ," Hercules, California, United States, North America"
22, AuXin Surgery , GoBeyond," Louvain-la-neuve, Vlaams-Brabant, Belgium, Europe"
23, PurpleDocs ," Kelly Gamma, Lead Angels Network"," Ahmedabad, Gujarat, India, Asia"
24, Practice Protection , — ," Fort Wayne, Indiana, United States, North America"
25, Vital Plan ," Jim Geikie, John Replogle"," Raleigh, North Carolina, United States, North America"
26, Avadim Health , — ," Asheville, North Carolina, United States, North America"
27, Wellnow ," Axel Springer Plug and Play Accelerator, Gary Lin, Matthias Hilpert, Monkfish Equity, Müller Medien"," Berlin, Berlin, Germany, Europe"
28, ExcaliVir , — ," Doylestown, Pennsylvania, United States, North America"
29, Core ," Bolt, Bose, Leonid Igolnik, Russell Siegelman, v1.vc"," San Francisco, California, United States, North America"
30, Sequella , — ," Rockville, Maryland, United States, North America"
31, Jamii Africa , tiphub," Dar Es Salaam, Dar es Salaam, Tanzania, Africa"
32, Core , Bolt," San Francisco, California, United States, North America"
33, Medcura , — ," Riverdale, Maryland, United States, North America"
34, BackTech , CyberAgent Capital," Kyoto, Kyoto, Japan, Asia"
35, Care Advisors , StartUp Health," Chicago, Illinois, United States, North America"
36, Immortagen , — ," Coralville, Iowa, United States, North America"
37, Symbiotix Biotherapies , — ," Boston, Massachusetts, United States, North America"
38, Embodied , HIVE Ventures," Pasadena, California, United States, North America"
39, Minervax , Innovation Fund Denmark," Hellerup, Hovedstaden, Denmark, Europe"
40, Lucerno Dynamics , — ," Cary, North Carolina, United States, North America"
41, NuvOx Pharma , — ," Tucson, Arizona, United States, North America"
42, Abexxa Biologics , — ," Arlington, Texas, United States, North America"
43, Diffia , StartupLab," Oslo, Oslo, Norway, Europe"
44, Eva Medtec , — ," Shakopee, Minnesota, United States, North America"
45, Sound Pharmaceuticals , — ," Seattle, Washington, United States, North America"
46, Avicena , — ," Los Angeles, California, United States, North America"
47, Mapsalud , Wayra," Santiago, Region Metropolitana, Chile, South America"
48, SiSaf , Vickers Venture Partners," Belfast, Belfast, United Kingdom, Europe"
49, OMsignal ," Bessemer Venture Partners, Export Development Canada, Investissement Quebec, MAS Holdings, Mistral Venture Partners, Primera Capital, Real Ventures, Relay Ventures, Techstars Ventures"," Montréal, Quebec, Canada, North America"
50, Idifarma Desarrollo Farmacéutico ," Clave Mayor, SODENA, Suanfarma Biotech"," Pamplona, Navarra, Spain, Europe"
51, Elixir Lab , — ," American Fork, Utah, United States, North America"
52, Array BioPharma , Redmile Group," Boulder, Colorado, United States, North America"
53, 7Mind , EIT Digital Accelerator," Berlin, Berlin, Germany, Europe"
