,Funding type
0,Seed
1,Venture - Series Unknown
2,Venture - Series Unknown
3,Venture - Series Unknown
4,Post-IPO Equity
5,Series A
6,Pre-Seed
7,Venture - Series Unknown
8,Venture - Series Unknown
9,Venture - Series Unknown
10,Seed
11,Series D
12,Venture - Series Unknown
13,Seed
14,Seed
15,Series B
16,Seed
17,Post-IPO Equity
18,Seed
19,Grant
20,Seed
21,Convertible Note
22,Venture - Series Unknown
23,Venture - Series Unknown
24,Seed
25,Seed
26,Venture - Series Unknown
27,Seed
28,Seed
29,Convertible Note
30,Venture - Series Unknown
31,Non-equity Assistance
32,Pre-Seed
33,Venture - Series Unknown
34,Seed
35,Seed
36,Series A
37,Grant
38,Seed
39,Grant
40,Series A
41,Grant
42,Venture - Series Unknown
43,Seed
44,Venture - Series Unknown
45,Debt Financing
46,Venture - Series Unknown
47,Venture - Series Unknown
48,Series A
49,Series B
50,Venture - Series Unknown
51,Seed
52,Post-IPO Equity
53,Seed
54,Venture - Series Unknown
55,Private Equity
56,Venture - Series Unknown
57,Series B
58,Pre-Seed
59,Venture - Series Unknown
60,Seed
61,Seed
62,Seed
63,Post-IPO Equity
64,Venture - Series Unknown
65,Seed
66,Seed
67,Post-IPO Equity
68,Seed
69,Debt Financing
70,Venture - Series Unknown
71,Seed
72,Debt Financing
73,Series E
74,Venture - Series Unknown
75,Grant
76,Series A
77,Angel
78,Seed
79,Grant
80,Venture - Series Unknown
81,Post-IPO Equity
82,Grant
83,Series D
84,Grant
85,Series A
86,Debt Financing
87,Seed
88,Series A
89,Angel
90,Series B
91,Seed
92,Series A
93,Angel
94,Series A
95,Series A
96,Series A
97,Seed
98,Venture - Series Unknown
99,Seed
100,Venture - Series Unknown
101,Private Equity
102,Venture - Series Unknown
103,Grant
104,Debt Financing
105,Series A
106,Grant
107,Series A
108,Seed
109,Angel
110,Debt Financing
111,Venture - Series Unknown
112,Venture - Series Unknown
113,Venture - Series Unknown
114,Convertible Note
115,Debt Financing
116,Seed
117,Seed
118,Series C
119,Seed
120,Venture - Series Unknown
121,Seed
122,Private Equity
123,Grant
124,Seed
125,Angel
126,Series A
127,Seed
128,Seed
129,Seed
130,Non-equity Assistance
131,Seed
132,Grant
133,Series D
134,Seed
135,Seed
136,Seed
137,Post-IPO Equity
138,Private Equity
139,Seed
140,Seed
141,Series B
142,Seed
143,Venture - Series Unknown
144,Grant
145,Seed
146,Non-equity Assistance
147,Seed
148,Series B
149,Seed
150,Seed
151,Seed
152,Seed
153,Debt Financing
154,Seed
155,Convertible Note
156,Post-IPO Equity
157,Seed
158,Series A
159,Angel
160,Series C
161,Series A
162,Series A
163,Series A
164,Seed
165,Debt Financing
166,Venture - Series Unknown
167,Seed
168,Seed
169,Venture - Series Unknown
170,Series A
171,Pre-Seed
172,Seed
173,Debt Financing
174,Seed
175,Post-IPO Equity
176,Seed
177,Private Equity
178,Seed
179,Seed
180,Series A
181,Venture - Series Unknown
182,Seed
183,Grant
184,Seed
185,Series C
186,Product Crowdfunding
187,Venture - Series Unknown
188,Private Equity
189,Seed
190,Convertible Note
191,Non-equity Assistance
192,Venture - Series Unknown
193,Private Equity
194,Series A
195,Series D
196,Seed
197,Series A
198,Venture - Series Unknown
199,Debt Financing
200,Grant
201,Debt Financing
202,Seed
203,Series C
204,Seed
205,Seed
206,Venture - Series Unknown
207,Seed
208,Venture - Series Unknown
209,Angel
210,Venture - Series Unknown
211,Series E
212,Convertible Note
213,Venture - Series Unknown
214,Venture - Series Unknown
215,Venture - Series Unknown
216,Seed
217,Seed
218,Venture - Series Unknown
219,Venture - Series Unknown
220,Seed
221,Post-IPO Equity
222,Venture - Series Unknown
223,Non-equity Assistance
224,Series A
225,Pre-Seed
226,Seed
227,Series B
228,Seed
229,Debt Financing
230,Seed
231,Series A
232,Seed
233,Debt Financing
234,Convertible Note
235,Seed
236,Venture - Series Unknown
237,Convertible Note
238,Pre-Seed
239,Series A
240,Grant
241,Grant
242,Corporate Round
243,Grant
244,Seed
245,Pre-Seed
246,Convertible Note
247,Grant
248,Series A
249,Funding Round
250,Seed
251,Seed
252,Angel
253,Grant
254,Grant
255,Pre-Seed
256,Venture - Series Unknown
257,Convertible Note
258,Grant
259,Grant
260,Grant
261,Seed
262,Series B
263,Seed
264,Seed
265,Grant
266,Seed
267,Series A
268,Angel
269,Venture - Series Unknown
270,Grant
271,Grant
272,Funding Round
273,Grant
274,Venture - Series Unknown
275,Grant
276,Series A
277,Series B
278,Grant
279,Convertible Note
280,Grant
281,Venture - Series Unknown
282,Venture - Series Unknown
283,Seed
284,Grant
285,Grant
286,Series B
287,Grant
288,Grant
289,Post-IPO Debt
290,Seed
291,Grant
292,Seed
293,Pre-Seed
294,Series A
295,Convertible Note
296,Grant
297,Venture - Series Unknown
298,Series C
299,Debt Financing
300,Seed
301,Series A
302,Seed
303,Post-IPO Equity
304,Debt Financing
305,Series A
306,Convertible Note
307,Venture - Series Unknown
308,Seed
309,Venture - Series Unknown
310,Series A
311,Series B
312,Debt Financing
313,Series A
314,Seed
315,Seed
316,Seed
317,Series A
318,Series A
319,Venture - Series Unknown
320,Venture - Series Unknown
321,Series A
322,Grant
323,Venture - Series Unknown
324,Private Equity
325,Venture - Series Unknown
326,Seed
327,Grant
328,Private Equity
329,Venture - Series Unknown
330,Seed
331,Grant
332,Equity Crowdfunding
333,Series A
334,Series C
335,Seed
336,Series D
337,Series F
338,Post-IPO Debt
339,Venture - Series Unknown
340,Venture - Series Unknown
341,Post-IPO Equity
342,Corporate Round
343,Venture - Series Unknown
344,Non-equity Assistance
345,Venture - Series Unknown
346,Private Equity
347,Venture - Series Unknown
348,Pre-Seed
349,Seed
350,Convertible Note
351,Series A
352,Venture - Series Unknown
353,Seed
354,Venture - Series Unknown
355,Venture - Series Unknown
356,Venture - Series Unknown
357,Post-IPO Equity
358,Series B
359,Seed
360,Venture - Series Unknown
361,Seed
362,Series A
363,Pre-Seed
364,Venture - Series Unknown
365,Seed
366,Series A
367,Series D
368,Post-IPO Debt
369,Debt Financing
370,Venture - Series Unknown
371,Convertible Note
372,Venture - Series Unknown
373,Debt Financing
374,Grant
375,Series B
376,Grant
377,Series C
378,Series A
379,Grant
380,Venture - Series Unknown
381,Series B
382,Pre-Seed
383,Debt Financing
384,Venture - Series Unknown
385,Seed
386,Seed
387,Venture - Series Unknown
388,Series E
389,Seed
390,Venture - Series Unknown
391,Seed
392,Post-IPO Equity
393,Seed
394,Venture - Series Unknown
395,Debt Financing
396,Convertible Note
397,Seed
398,Seed
399,Seed
400,Private Equity
401,Corporate Round
402,Corporate Round
403,Debt Financing
404,Venture - Series Unknown
405,Series A
406,Venture - Series Unknown
407,Post-IPO Equity
408,Post-IPO Equity
409,Venture - Series Unknown
410,Venture - Series Unknown
411,Series A
412,Grant
413,Grant
414,Debt Financing
415,Venture - Series Unknown
416,Grant
417,Seed
418,Seed
419,Series C
420,Debt Financing
421,Seed
422,Pre-Seed
423,Debt Financing
424,Series A
425,Debt Financing
426,Series A
427,Series A
428,Angel
429,Series A
430,Angel
431,Series A
432,Seed
433,Equity Crowdfunding
434,Venture - Series Unknown
435,Venture - Series Unknown
436,Post-IPO Equity
437,Grant
438,Grant
439,Convertible Note
440,Series B
441,Angel
442,Seed
443,Angel
444,Venture - Series Unknown
445,Series C
446,Funding Round
447,Venture - Series Unknown
448,Series B
449,Series B
450,Seed
451,Seed
452,Grant
453,Venture - Series Unknown
454,Angel
455,Venture - Series Unknown
456,Grant
457,Seed
458,Series A
459,Convertible Note
460,Angel
461,Series A
462,Seed
463,Series A
464,Series A
465,Grant
466,Corporate Round
467,Funding Round
468,Seed
469,Grant
470,Seed
471,Seed
472,Non-equity Assistance
473,Seed
474,Seed
475,Venture - Series Unknown
476,Grant
477,Funding Round
478,Grant
479,Private Equity
480,Series A
481,Seed
482,Grant
483,Private Equity
484,Seed
485,Series A
486,Post-IPO Equity
487,Grant
488,Grant
489,Seed
490,Private Equity
491,Grant
492,Angel
493,Venture - Series Unknown
494,Seed
495,Grant
496,Angel
497,Grant
498,Grant
499,Debt Financing
500,Product Crowdfunding
501,Seed
502,Venture - Series Unknown
503,Seed
504,Seed
505,Debt Financing
506,Series A
507,Series B
508,Seed
509,Series A
510,Seed
511,Debt Financing
512,Corporate Round
513,Seed
514,Debt Financing
515,Angel
516,Angel
517,Series H
518,Venture - Series Unknown
519,Seed
520,Venture - Series Unknown
521,Grant
522,Series E
523,Series A
524,Venture - Series Unknown
525,Grant
526,Seed
527,Seed
528,Venture - Series Unknown
529,Grant
530,Venture - Series Unknown
531,Venture - Series Unknown
