,Round
0, Seed Round - US Kidney Research Corporation 
1, Venture Round - GraphWear Technologies 
2, Venture Round - RubiconMD 
3, Venture Round - Emerging Implant Technologies 
4, Post-IPO Equity - T2 Biosystems 
5, Series A - Cyclica 
6, Pre Seed Round - Maxwell Plus 
7, Venture Round - Ideal Implant 
8, Venture Round - Leukos Biotech 
9, Venture Round - Sharecare 
10, Seed Round - Neuro Therapia 
11, Series D - BSC 
12, Venture Round - XOR Labs Toronto 
13, Seed Round - PLG Medical SIA 
14, Seed Round - GreenLight Medicines 
15, Series B - Datica 
16, Seed Round - DailyRounds 
17, Post-IPO Equity - Colgate Palmolive 
18, Seed Round - A2A Pharmaceuticals 
19, Grant - Toxys 
20, Seed Round - Ultra Ink 
21, Convertible Note - Bioxiness Pharmaceuticals 
22, Venture Round - AuXin Surgery 
23, Venture Round - PurpleDocs 
24, Seed Round - Practice Protection 
25, Seed Round - Vital Plan 
26, Venture Round - Avadim Health 
27, Seed Round - Wellnow 
28, Seed Round - ExcaliVir 
29, Convertible Note - Core 
30, Venture Round - Sequella 
31, Non Equity Assistance - Jamii Africa 
32, Pre Seed Round - Core 
33, Venture Round - Medcura 
34, Seed Round - BackTech 
35, Seed Round - Care Advisors 
36, Series A - Immortagen 
37, Grant - Symbiotix Biotherapies 
38, Seed Round - Embodied 
39, Grant - Minervax 
40, Series A - Lucerno Dynamics 
41, Grant - NuvOx Pharma 
42, Venture Round - Abexxa Biologics 
43, Seed Round - Diffia 
44, Venture Round - Eva Medtec 
45, Debt Financing - Sound Pharmaceuticals 
46, Venture Round - Avicena 
47, Venture Round - Mapsalud 
48, Series A - SiSaf 
49, Series B - OMsignal 
50, Venture Round - Idifarma Desarrollo Farmacéutico 
51, Seed Round - Elixir Lab 
52, Post-IPO Equity - Array BioPharma 
53, Seed Round - 7Mind 
54, Venture Round - River Ridge 
55, Private Equity Round - University Ambulatory Surgery Center 
56, Venture Round - Adgero Biopharmaceuticals 
57, Series B - NociMed 
58, Pre Seed Round - Lilu 
59, Venture Round - Padinmotion 
60, Seed Round - LifeWallet 
61," Seed Round - LiftSync, LLC "
62, Seed Round - Helicon Health 
63, Post-IPO Equity - Cogentix Medical 
64, Venture Round - Synotrac 
65, Seed Round - PhotoniCare 
66, Seed Round - Immunostics 
67, Post-IPO Equity - Aerie Pharmaceuticals 
68, Seed Round - GammaDelta Therapeutics 
69, Debt Financing - SenGenix 
70, Venture Round - Enochian BioSciences 
71, Seed Round - Kenota Health 
72, Debt Financing - FitDel - Fitness Delivered 
73, Series E - Intarcia Therapeutics 
74, Venture Round - Tiani Spirit GmbH 
75, Grant - VitaScan 
76, Series A - Curo Technologies 
