Date,$,R$,£,€,CN¥,CHF,ISK,NZ$,NOK,CA$,SEK,A$,MYR,¥,₹,SGD,₩,₪,DKK,MX$,RUB,TRY,SDG,AED,PLN,NT$,HK$,BDT,IDR,ZAR,EGP,CLP,RWF,ARS,₫,HUF,PHP,VEF,PEN,COP,NGN,SAR
Mar-21,1.00,5.635307,0.721146,0.838857,6.502681,0.928138,127.381567,1.398496,8.524561,1.257719,8.522272,1.295978,4.10498,108.513443,72.787893,1.342058,1130.691262,3.307848,6.237906,20.820147,74.308483,7.586926,379.507778,3.6725,3.851517,28.231305,7.763924,84.743386,14385.88461,14.992868,15.712106,724.998,988.131577,90.942317,23054.92476,307.031753,48.567192,1.84422E+11,3.697686,3603.986966,377.561014,3.75
Feb-21,1.00,5.408625,0.721383,0.82661,6.45869,0.897486,128.336722,1.380634,8.49687,1.269159,8.339479,1.289957,4.045674,105.383723,72.802874,1.327557,1111.829985,3.271755,6.147281,20.297082,74.358566,7.090913,103.292815,3.6725,3.717095,27.948375,7.752934,84.76288,14054.04063,14.765804,15.667676,721.5855,989.817428,88.627936,23013.7322,296.046901,48.273097,1.78598E+11,3.643699,3551.661381,376,3.75
Jan-21,1.00,5.349153,0.733442,0.821664,6.46877,0.886867,128.571414,1.390611,8.517403,1.273017,8.294999,1.295261,4.038734,103.78096,73.120054,1.326109,1099.912077,3.225009,6.112087,19.923546,74.416814,7.399751,55.232373,3.6725,3.724917,27.990282,7.753131,84.73715,14060.12447,15.142728,15.697642,724.682,986.882237,85.92384,23057.31107,295.137222,48.064022,1.49338E+11,3.621821,3498.15776,377.5,3.75
Dec-20,1.00,5.148727,0.744699,0.821741,6.541034,0.888617,127.473276,1.410175,8.711291,1.281517,8.360346,1.328504,4.056244,103.766465,73.632669,1.332716,1094.96919,3.246965,6.11476,19.960808,74.152324,7.709839,55.320559,3.6725,3.680123,28.223023,7.752083,84.84996,14155.57843,14.897784,15.714191,731.072727,987.867855,82.686297,23143.02038,295.009583,48.09199,1.05902E+11,3.604004,3465.367776,376.590909,3.75
Nov-20,1.00,5.434422,0.756973,0.844779,6.602048,0.911096,136.777603,1.456232,9.078055,1.30703,8.643247,1.374134,4.111809,104.42004,74.216223,1.34692,1114.817069,3.36001,6.290179,20.407156,76.886703,7.985672,55.302666,3.6725,3.797306,28.538045,7.752604,84.774581,14212.90468,15.546436,15.656363,762.468095,982.804543,79.887371,23165.88923,303.99107,48.25857,66757075893,3.606489,3673.682578,377.857143,3.75
Oct-20,1.00,5.619559,0.770622,0.849257,6.728191,0.912023,138.979828,1.506241,9.275699,1.321338,8.829525,1.403047,4.152027,105.211897,73.535524,1.359513,1143.96949,3.394128,6.320492,21.283774,77.650722,7.957672,55.262988,3.6725,3.856856,28.696886,7.750378,84.763253,14733.00922,16.446491,15.701042,787.977677,972.221509,77.504098,23179.72153,307.881552,48.497622,45254173629,3.594177,3829.964543,378.075363,3.75
Sep-20,1.00,5.399324,0.771296,0.84805,6.812286,0.914678,137.964442,1.499456,9.140572,1.321741,8.84378,1.383005,4.149725,105.576395,73.545565,1.365661,1177.56937,3.421863,6.311011,21.657177,75.989904,7.555097,55.28991,3.6725,3.793369,29.205829,7.75019,84.788066,14833.5746,16.735519,15.769162,772.765909,961.844335,75.179918,23175.76271,305.828866,48.525009,36561056677,3.552245,3750.652494,377,3.75
Aug-20,1.00,5.442988,0.761603,0.845465,6.928833,0.910346,136.765531,1.515977,8.94499,1.323456,8.715674,1.389353,4.185477,106.023167,74.595697,1.369253,1186.539672,3.399951,6.295363,22.197199,73.851759,7.282716,55.323037,3.6725,3.719678,29.399369,7.750264,84.836093,14712.93268,17.233744,15.936327,784.420476,961.540766,73.302443,23183.97956,294.999676,48.767815,28897203425,3.563559,3785.08297,377.428571,3.75
Jul-20,1.00,5.286755,0.789358,0.872574,7.009634,0.934548,138.283541,1.518592,9.296797,1.350601,9.035432,1.422529,4.264026,106.770804,74.922385,1.387689,1198.762699,3.431248,6.497797,22.422411,71.536975,6.877358,55.358548,3.6725,3.882698,29.450203,7.751079,84.876826,14531.49496,16.76631,16.014187,781.470435,954.325504,71.483861,23206.81189,306.45979,49.393295,22366369839,3.518578,3667.596987,384.391304,3.75
Jun-20,1.00,5.187645,0.798621,0.888553,7.084636,0.951842,135.688395,1.552597,9.534275,1.355405,9.318186,1.450335,4.275424,107.618647,75.721254,1.393758,1207.319973,3.455786,6.623953,22.287245,69.315436,6.824526,55.323538,3.6725,3.94958,29.6749,7.750293,84.9635,14205.57426,17.125254,16.166796,794.182727,949.545242,69.566159,23239.6251,308.942297,50.053812,20017622941,3.473013,3700.776695,384.272727,3.75
