node,index,country,continent,industry,foundation,target_status,bipartite,id,eigen_max,pages_max,degcen_max,bet_max,avg_max,dis_mean,newman_max,vote_min
NeuroMolecular Pharmaceuticals,20125.0,United States,North America,Pharmaceuticals / Drugs,2002.0,Alive / Active,1,15,,,,,,,,
AngioScore,18536.0,United States,North America,Medical Devices & Equipment,2003.0,Acquired,1,17,0.10161619367956172,0.0032990329108894788,0.09869956652217406,0.029136935410065318,217.0,,0.4256245159807758,0.4256245159807758
Prematics,18285.0,United States,North America,Healthcare Software,2005.0,Acquired,1,19,,,,,,,,
Emphasys Medical,21524.0,United States,North America,Medical Devices & Equipment,2000.0,Alive / Active,1,26,,,,,,,,
ev3,21526.0,United States,North America,Medical Devices & Equipment,2000.0,Acquired,1,27,,,,,,,,
PercSys,11242.0,United States,North America,Medical Devices & Equipment,2003.0,Alive / Active,1,32,,,,,,,,
Regency Healthcare Group,21592.0,United States,North America,Medical Facilities & Services,2002.0,Alive / Active,1,34,0.10382595052991468,0.00437177163415814,0.12284406898979232,0.04761282443890884,95.32467532467531,,0.4330548635788694,0.4330548635788694
SpectraGenetics,40948.0,United States,North America,Biotechnology,2003.0,Alive / Active,1,45,0.012311567917446687,0.0007668136965685928,0.017247448081661388,0.002658412005703709,88.83673469387755,,0.34580025912530304,0.34580025912530304
Q Therapeutics,6227.0,United States,North America,Pharmaceuticals / Drugs,2004.0,Alive / Active,1,46,,,,,,,,
EndoMedix,21774.0,United States,North America,Medical Devices & Equipment,2005.0,Alive / Active,1,53,0.025133189844630487,0.0013296461312875935,0.032407407407407406,0.006029437396151358,67.12087912087911,,0.3711826126168151,0.3711826126168151
Tengion,1690.0,United States,North America,Medical Devices & Equipment,2003.0,IPO / Went public,1,54,,,,,,,,
Potentia Pharmaceuticals,7138.0,United States,North America,Biotechnology,2001.0,Acquired,1,64,,,,,,,,
Sequoia Pharmaceuticals,20683.0,United States,North America,Pharmaceuticals / Drugs,2002.0,Alive / Active,1,66,,,,,,,,
